index,tile,hflip,vflip,palette
0,0x047,0,0,8
1,0x048,0,0,8
2,0x049,0,0,8
3,0x000,0,0,8
4,0x000,0,0,8
5,0x000,0,0,8
6,0x000,0,0,8
7,0x002,0,0,8
8,0x003,0,0,8
9,0x004,0,0,8
10,0x005,0,0,8
11,0x000,0,0,8
12,0x000,0,0,8
13,0x000,0,0,8
14,0x000,0,0,8
15,0x046,0,0,8
16,0x047,0,0,8
17,0x048,0,0,8
18,0x049,0,0,8
19,0x000,0,0,8
20,0x000,0,0,8
21,0x000,0,0,8
22,0x000,0,0,8
23,0x002,0,0,8
24,0x003,0,0,8
25,0x004,0,0,8
26,0x005,0,0,8
27,0x000,0,0,8
28,0x000,0,0,8
29,0x000,0,0,8
30,0x000,0,0,0
31,0x000,0,0,0
32,0x057,0,0,8
33,0x058,0,0,8
34,0x059,0,0,8
35,0x010,0,0,8
36,0x010,0,0,8
37,0x010,0,0,8
38,0x010,0,0,8
39,0x012,0,0,8
40,0x013,0,0,8
41,0x014,0,0,8
42,0x015,0,0,8
43,0x010,0,0,8
44,0x010,0,0,8
45,0x010,0,0,8
46,0x010,0,0,8
47,0x056,0,0,8
48,0x057,0,0,8
49,0x058,0,0,8
50,0x059,0,0,8
51,0x010,0,0,8
52,0x010,0,0,8
53,0x010,0,0,8
54,0x010,0,0,8
55,0x012,0,0,8
56,0x013,0,0,8
57,0x014,0,0,8
58,0x015,0,0,8
59,0x010,0,0,8
60,0x010,0,0,8
61,0x010,0,0,8
62,0x000,0,0,0
63,0x000,0,0,0
64,0x067,0,0,8
65,0x068,0,0,8
66,0x069,0,0,8
67,0x020,0,0,8
68,0x020,0,0,8
69,0x020,0,0,8
70,0x020,0,0,8
71,0x022,0,0,8
72,0x023,0,0,8
73,0x024,0,0,8
74,0x025,0,0,8
75,0x020,0,0,8
76,0x020,0,0,8
77,0x020,0,0,8
78,0x020,0,0,8
79,0x066,0,0,8
80,0x067,0,0,8
81,0x068,0,0,8
82,0x069,0,0,8
83,0x020,0,0,8
84,0x020,0,0,8
85,0x020,0,0,8
86,0x020,0,0,8
87,0x022,0,0,8
88,0x023,0,0,8
89,0x024,0,0,8
90,0x025,0,0,8
91,0x020,0,0,8
92,0x020,0,0,8
93,0x020,0,0,8
94,0x000,0,0,0
95,0x000,0,0,0
96,0x077,0,0,8
97,0x078,0,0,8
98,0x079,0,0,8
99,0x030,0,0,8
100,0x030,0,0,8
101,0x030,0,0,8
102,0x030,0,0,8
103,0x032,0,0,8
104,0x033,0,0,8
105,0x034,0,0,8
106,0x035,0,0,8
107,0x030,0,0,8
108,0x030,0,0,8
109,0x030,0,0,8
110,0x030,0,0,8
111,0x076,0,0,8
112,0x077,0,0,8
113,0x078,0,0,8
114,0x079,0,0,8
115,0x030,0,0,8
116,0x030,0,0,8
117,0x030,0,0,8
118,0x030,0,0,8
119,0x032,0,0,8
120,0x033,0,0,8
121,0x034,0,0,8
122,0x035,0,0,8
123,0x030,0,0,8
124,0x030,0,0,8
125,0x030,0,0,8
126,0x000,0,0,0
127,0x000,0,0,0
128,0x040,0,0,8
129,0x040,0,0,8
130,0x040,0,0,8
131,0x086,0,0,8
132,0x087,0,0,8
133,0x088,0,0,8
134,0x089,0,0,8
135,0x040,0,0,8
136,0x040,0,0,8
137,0x040,0,0,8
138,0x040,0,0,8
139,0x086,0,0,8
140,0x087,0,0,8
141,0x088,0,0,8
142,0x089,0,0,8
143,0x040,0,0,8
144,0x040,0,0,8
145,0x040,0,0,8
146,0x040,0,0,8
147,0x086,0,0,8
148,0x087,0,0,8
149,0x088,0,0,8
150,0x089,0,0,8
151,0x040,0,0,8
152,0x040,0,0,8
153,0x040,0,0,8
154,0x040,0,0,8
155,0x086,0,0,8
156,0x087,0,0,8
157,0x088,0,0,8
158,0x041,0,0,0
159,0x041,0,0,0
160,0x050,0,0,8
161,0x050,0,0,8
162,0x050,0,0,8
163,0x096,0,0,8
164,0x097,0,0,8
165,0x098,0,0,8
166,0x099,0,0,8
167,0x050,0,0,8
168,0x050,0,0,8
169,0x050,0,0,8
170,0x050,0,0,8
171,0x096,0,0,8
172,0x097,0,0,8
173,0x098,0,0,8
174,0x099,0,0,8
175,0x050,0,0,8
176,0x050,0,0,8
177,0x050,0,0,8
178,0x050,0,0,8
179,0x096,0,0,8
180,0x097,0,0,8
181,0x098,0,0,8
182,0x099,0,0,8
183,0x050,0,0,8
184,0x050,0,0,8
185,0x050,0,0,8
186,0x050,0,0,8
187,0x096,0,0,8
188,0x097,0,0,8
189,0x098,0,0,8
190,0x041,0,0,0
191,0x041,0,0,0
192,0x060,0,0,8
193,0x060,0,0,8
194,0x060,0,0,8
195,0x0A6,0,0,8
196,0x0A7,0,0,8
197,0x0A8,0,0,8
198,0x0A9,0,0,8
199,0x060,0,0,8
200,0x060,0,0,8
201,0x060,0,0,8
202,0x060,0,0,8
203,0x0A6,0,0,8
204,0x0A7,0,0,8
205,0x0A8,0,0,8
206,0x0A9,0,0,8
207,0x060,0,0,8
208,0x060,0,0,8
209,0x060,0,0,8
210,0x060,0,0,8
211,0x0A6,0,0,8
212,0x0A7,0,0,8
213,0x0A8,0,0,8
214,0x0A9,0,0,8
215,0x060,0,0,8
216,0x060,0,0,8
