index,tile,hflip,vflip,palette
0,0x000,0,0,8
1,0x001,0,0,8
2,0x002,0,0,8
3,0x003,0,0,8
4,0x000,0,0,8
5,0x001,0,0,8
6,0x002,0,0,8
7,0x003,0,0,8
8,0x000,0,0,8
9,0x001,0,0,8
10,0x002,0,0,8
11,0x003,0,0,8
12,0x000,0,0,8
13,0x001,0,0,8
14,0x002,0,0,8
15,0x003,0,0,8
16,0x000,0,0,8
17,0x001,0,0,8
18,0x002,0,0,8
19,0x003,0,0,8
20,0x000,0,0,8
21,0x001,0,0,8
22,0x002,0,0,8
23,0x003,0,0,8
24,0x000,0,0,8
25,0x001,0,0,8
26,0x002,0,0,8
27,0x003,0,0,8
28,0x000,0,0,8
29,0x001,0,0,8
30,0x002,0,0,8
31,0x003,0,0,8
32,0x004,0,0,8
33,0x005,0,0,8
34,0x006,0,0,8
35,0x007,0,0,8
36,0x004,0,0,8
37,0x005,0,0,8
38,0x006,0,0,8
39,0x007,0,0,8
40,0x004,0,0,8
41,0x005,0,0,8
42,0x006,0,0,8
43,0x007,0,0,8
44,0x004,0,0,8
45,0x005,0,0,8
46,0x006,0,0,8
47,0x007,0,0,8
48,0x004,0,0,8
49,0x005,0,0,8
50,0x006,0,0,8
51,0x007,0,0,8
52,0x004,0,0,8
53,0x005,0,0,8
54,0x006,0,0,8
55,0x007,0,0,8
56,0x004,0,0,8
57,0x005,0,0,8
58,0x006,0,0,8
59,0x007,0,0,8
60,0x004,0,0,8
61,0x005,0,0,8
62,0x006,0,0,8
63,0x007,0,0,8
64,0x008,0,0,8
65,0x009,0,0,8
66,0x00A,0,0,8
67,0x00B,0,0,8
68,0x008,0,0,8
69,0x009,0,0,8
70,0x00A,0,0,8
71,0x00B,0,0,8
72,0x008,0,0,8
73,0x009,0,0,8
74,0x00A,0,0,8
75,0x00B,0,0,8
76,0x008,0,0,8
77,0x009,0,0,8
78,0x00A,0,0,8
79,0x00B,0,0,8
80,0x008,0,0,8
81,0x009,0,0,8
82,0x00A,0,0,8
83,0x00B,0,0,8
84,0x008,0,0,8
85,0x009,0,0,8
86,0x00A,0,0,8
87,0x00B,0,0,8
88,0x008,0,0,8
89,0x009,0,0,8
90,0x00A,0,0,8
91,0x00B,0,0,8
92,0x008,0,0,8
93,0x009,0,0,8
94,0x00A,0,0,8
95,0x00B,0,0,8
96,0x00C,0,0,8
97,0x00D,0,0,8
98,0x00E,0,0,8
99,0x00F,0,0,8
100,0x00C,0,0,8
101,0x00D,0,0,8
102,0x00E,0,0,8
103,0x00F,0,0,8
104,0x00C,0,0,8
105,0x00D,0,0,8
106,0x00E,0,0,8
107,0x00F,0,0,8
108,0x00C,0,0,8
109,0x00D,0,0,8
110,0x00E,0,0,8
111,0x00F,0,0,8
112,0x00C,0,0,8
113,0x00D,0,0,8
114,0x00E,0,0,8
115,0x00F,0,0,8
116,0x00C,0,0,8
117,0x00D,0,0,8
118,0x00E,0,0,8
119,0x00F,0,0,8
120,0x00C,0,0,8
121,0x00D,0,0,8
122,0x00E,0,0,8
123,0x00F,0,0,8
124,0x00C,0,0,8
125,0x00D,0,0,8
126,0x00E,0,0,8
127,0x00F,0,0,8
128,0x000,0,0,8
129,0x001,0,0,8
130,0x002,0,0,8
131,0x003,0,0,8
132,0x000,0,0,8
133,0x001,0,0,8
134,0x002,0,0,8
135,0x003,0,0,8
136,0x000,0,0,8
137,0x001,0,0,8
138,0x002,0,0,8
139,0x003,0,0,8
140,0x000,0,0,8
141,0x001,0,0,8
142,0x002,0,0,8
143,0x003,0,0,8
144,0x000,0,0,8
145,0x001,0,0,8
146,0x002,0,0,8
147,0x003,0,0,8
148,0x000,0,0,8
149,0x001,0,0,8
150,0x002,0,0,8
151,0x003,0,0,8
152,0x000,0,0,8
153,0x001,0,0,8
154,0x002,0,0,8
155,0x003,0,0,8
156,0x000,0,0,8
157,0x001,0,0,8
158,0x002,0,0,8
159,0x003,0,0,8
160,0x004,0,0,8
161,0x005,0,0,8
162,0x006,0,0,8
163,0x007,0,0,8
164,0x004,0,0,8
165,0x005,0,0,8
166,0x006,0,0,8
167,0x007,0,0,8
168,0x004,0,0,8
169,0x005,0,0,8
170,0x006,0,0,8
171,0x007,0,0,8
172,0x004,0,0,8
173,0x005,0,0,8
174,0x006,0,0,8
175,0x007,0,0,8
176,0x004,0,0,8
177,0x005,0,0,8
178,0x006,0,0,8
179,0x007,0,0,8
180,0x004,0,0,8
181,0x005,0,0,8
182,0x006,0,0,8
183,0x007,0,0,8
184,0x004,0,0,8
185,0x005,0,0,8
186,0x006,0,0,8
187,0x007,0,0,8
188,0x004,0,0,8
189,0x005,0,0,8
190,0x006,0,0,8
191,0x007,0,0,8
192,0x008,0,0,8
193,0x009,0,0,8
194,0x00A,0,0,8
195,0x00B,0,0,8
196,0x008,0,0,8
197,0x009,0,0,8
198,0x00A,0,0,8
199,0x00B,0,0,8
200,0x008,0,0,8
201,0x009,0,0,8
202,0x00A,0,0,8
203,0x00B,0,0,8
204,0x008,0,0,8
205,0x009,0,0,8
206,0x00A,0,0,8
207,0x00B,0,0,8
208,0x008,0,0,8
209,0x009,0,0,8
210,0x00A,0,0,8
211,0x00B,0,0,8
212,0x008,0,0,8
213,0x009,0,0,8
214,0x00A,0,0,8
215,0x00B,0,0,8
216,0x008,0,0,8
217,0x009,0,0,8
218,0x00A,0,0,8
219,0x00B,0,0,8
220,0x008,0,0,8
221,0x009,0,0,8
222,0x00A,0,0,8
223,0x00B,0,0,8
224,0x00C,0,0,8
225,0x00D,0,0,8
226,0x00E,0,0,8
227,0x00F,0,0,8
228,0x00C,0,0,8
229,0x00D,0,0,8
230,0x00E,0,0,8
231,0x00F,0,0,8
232,0x00C,0,0,8
233,0x00D,0,0,8
234,0x00E,0,0,8
235,0x00F,0,0,8
236,0x00C,0,0,8
237,0x00D,0,0,8
238,0x00E,0,0,8
239,0x00F,0,0,8
240,0x00C,0,0,8
241,0x00D,0,0,8
242,0x00E,0,0,8
243,0x00F,0,0,8
244,0x00C,0,0,8
245,0x00D,0,0,8
246,0x00E,0,0,8
247,0x00F,0,0,8
248,0x00C,0,0,8
249,0x00D,0,0,8
250,0x00E,0,0,8
251,0x00F,0,0,8
252,0x00C,0,0,8
253,0x00D,0,0,8
254,0x00E,0,0,8
255,0x00F,0,0,8
256,0x000,0,0,8
257,0x001,0,0,8
258,0x002,0,0,8
259,0x003,0,0,8
260,0x000,0,0,8
261,0x001,0,0,8
262,0x002,0,0,8
263,0x003,0,0,8
264,0x000,0,0,8
265,0x001,0,0,8
266,0x002,0,0,8
267,0x003,0,0,8
268,0x000,0,0,8
269,0x001,0,0,8
270,0x002,0,0,8
271,0x003,0,0,8
272,0x000,0,0,8
273,0x001,0,0,8
274,0x002,0,0,8
275,0x003,0,0,8
276,0x000,0,0,8
277,0x001,0,0,8
278,0x002,0,0,8
279,0x003,0,0,8
280,0x000,0,0,8
281,0x001,0,0,8
282,0x002,0,0,8
283,0x003,0,0,8
284,0x000,0,0,8
285,0x001,0,0,8
286,0x002,0,0,8
287,0x003,0,0,8
288,0x004,0,0,8
289,0x005,0,0,8
290,0x006,0,0,8
291,0x007,0,0,8
292,0x004,0,0,8
293,0x005,0,0,8
294,0x006,0,0,8
295,0x007,0,0,8
296,0x004,0,0,8
297,0x005,0,0,8
298,0x006,0,0,8
299,0x007,0,0,8
300,0x004,0,0,8
301,0x005,0,0,8
302,0x006,0,0,8
303,0x007,0,0,8
304,0x004,0,0,8
305,0x005,0,0,8
306,0x006,0,0,8
307,0x007,0,0,8
308,0x004,0,0,8
309,0x005,0,0,8
310,0x006,0,0,8
311,0x007,0,0,8
312,0x004,0,0,8
313,0x005,0,0,8
314,0x006,0,0,8
315,0x007,0,0,8
316,0x004,0,0,8
317,0x005,0,0,8
318,0x006,0,0,8
319,0x007,0,0,8
320,0x008,0,0,8
321,0x009,0,0,8
322,0x00A,0,0,8
323,0x00B,0,0,8
324,0x008,0,0,8
325,0x009,0,0,8
