index,tile,hflip,vflip,palette
0,0x004,0,0,8
1,0x005,0,0,8
2,0x006,0,0,8
3,0x007,0,0,8
4,0x004,0,0,8
5,0x005,0,0,8
6,0x006,0,0,8
7,0x007,0,0,8
8,0x004,0,0,8
9,0x005,0,0,8
10,0x006,0,0,8
11,0x007,0,0,8
12,0x004,0,0,8
13,0x005,0,0,8
14,0x006,0,0,8
15,0x007,0,0,8
16,0x004,0,0,8
17,0x005,0,0,8
18,0x006,0,0,8
19,0x007,0,0,8
20,0x004,0,0,8
21,0x005,0,0,8
22,0x006,0,0,8
23,0x007,0,0,8
24,0x004,0,0,8
25,0x005,0,0,8
26,0x006,0,0,8
27,0x007,0,0,8
28,0x004,0,0,8
29,0x005,0,0,8
30,0x006,0,0,8
31,0x007,0,0,8
32,0x014,0,0,8
33,0x015,0,0,8
34,0x016,0,0,8
35,0x017,0,0,8
36,0x014,0,0,8
37,0x015,0,0,8
38,0x016,0,0,8
39,0x017,0,0,8
40,0x014,0,0,8
41,0x015,0,0,8
42,0x016,0,0,8
43,0x017,0,0,8
44,0x014,0,0,8
45,0x015,0,0,8
46,0x016,0,0,8
47,0x017,0,0,8
48,0x014,0,0,8
49,0x015,0,0,8
50,0x016,0,0,8
51,0x017,0,0,8
52,0x014,0,0,8
53,0x015,0,0,8
54,0x016,0,0,8
55,0x017,0,0,8
56,0x014,0,0,8
57,0x015,0,0,8
58,0x016,0,0,8
59,0x017,0,0,8
60,0x014,0,0,8
61,0x015,0,0,8
62,0x016,0,0,8
63,0x017,0,0,8
64,0x024,0,0,8
65,0x025,0,0,8
66,0x026,0,0,8
67,0x027,0,0,8
68,0x024,0,0,8
69,0x025,0,0,8
70,0x026,0,0,8
71,0x027,0,0,8
72,0x024,0,0,8
73,0x025,0,0,8
74,0x026,0,0,8
75,0x027,0,0,8
76,0x024,0,0,8
77,0x025,0,0,8
78,0x026,0,0,8
79,0x027,0,0,8
80,0x024,0,0,8
81,0x025,0,0,8
82,0x026,0,0,8
83,0x027,0,0,8
84,0x024,0,0,8
85,0x025,0,0,8
86,0x026,0,0,8
87,0x027,0,0,8
88,0x024,0,0,8
89,0x025,0,0,8
90,0x026,0,0,8
91,0x027,0,0,8
92,0x024,0,0,8
93,0x025,0,0,8
94,0x026,0,0,8
95,0x027,0,0,8
96,0x034,0,0,8
97,0x035,0,0,8
98,0x036,0,0,8
99,0x037,0,0,8
100,0x034,0,0,8
101,0x035,0,0,8
102,0x036,0,0,8
103,0x037,0,0,8
104,0x034,0,0,8
105,0x035,0,0,8
106,0x036,0,0,8
107,0x037,0,0,8
108,0x034,0,0,8
109,0x035,0,0,8
110,0x036,0,0,8
111,0x037,0,0,8
112,0x034,0,0,8
113,0x035,0,0,8
114,0x036,0,0,8
115,0x037,0,0,8
116,0x034,0,0,8
117,0x035,0,0,8
118,0x036,0,0,8
119,0x037,0,0,8
120,0x034,0,0,8
121,0x035,0,0,8
122,0x036,0,0,8
123,0x037,0,0,8
124,0x034,0,0,8
