index,tile,hflip,vflip,palette
0,0x000,0,0,2
1,0x000,0,0,2
2,0x000,0,0,2
3,0x000,0,0,2
4,0x000,0,0,2
5,0x000,0,0,2
6,0x000,0,0,2
7,0x000,0,0,2
8,0x000,0,0,2
9,0x000,0,0,2
10,0x000,0,0,2
11,0x000,0,0,2
12,0x000,0,0,2
13,0x000,0,0,2
14,0x000,0,0,2
15,0x000,0,0,2
16,0x000,0,0,2
17,0x000,0,0,2
18,0x000,0,0,2
19,0x000,0,0,2
20,0x000,0,0,2
21,0x002,0,0,2
22,0x000,0,0,2
23,0x000,0,0,2
24,0x000,0,0,2
25,0x000,0,0,2
26,0x000,0,0,2
27,0x000,0,0,2
28,0x000,0,0,2
29,0x000,0,0,2
30,0x000,0,0,2
31,0x000,0,0,2
32,0x000,0,0,2
33,0x001,0,0,2
34,0x000,0,0,2
35,0x000,0,0,2
36,0x000,0,0,2
37,0x000,0,0,2
38,0x000,0,0,2
39,0x002,0,0,2
40,0x000,0,0,2
41,0x001,0,0,2
42,0x000,0,0,2
43,0x000,0,0,2
44,0x000,0,0,2
45,0x002,0,0,2
46,0x000,0,0,2
47,0x000,0,0,2
48,0x000,0,0,2
49,0x000,0,0,2
50,0x000,0,0,2
51,0x000,0,0,2
52,0x003,0,0,2
53,0x004,0,0,2
54,0x005,0,0,2
55,0x006,0,0,2
56,0x007,0,0,2
57,0x008,0,0,2
58,0x009,0,0,2
59,0x00A,0,0,2
60,0x00B,0,0,2
61,0x00C,0,0,2
62,0x00D,0,0,2
63,0x000,0,0,2
64,0x000,0,0,2
65,0x000,0,0,2
66,0x000,0,0,2
67,0x000,0,0,2
68,0x000,0,0,2
69,0x000,0,0,2
70,0x000,0,0,2
71,0x000,0,0,2
72,0x000,0,0,2
73,0x000,0,0,2
74,0x000,0,0,2
75,0x000,0,0,2
76,0x000,0,0,2
77,0x000,0,0,2
78,0x000,0,0,2
79,0x000,0,0,2
80,0x000,0,0,2
81,0x000,0,0,2
82,0x001,0,0,2
83,0x000,0,0,2
84,0x013,0,0,2
85,0x014,0,0,2
86,0x015,0,0,2
87,0x016,0,0,2
88,0x017,0,0,2
89,0x018,0,0,2
90,0x019,0,0,2
91,0x01A,0,0,2
92,0x01B,0,0,2
93,0x01C,0,0,2
94,0x01D,0,0,2
95,0x000,0,0,2
96,0x000,0,0,2
97,0x000,0,0,2
98,0x000,0,0,2
99,0x003,0,0,2
100,0x004,0,0,2
101,0x005,0,0,2
102,0x006,0,0,2
103,0x007,0,0,2
104,0x008,0,0,2
105,0x009,0,0,2
106,0x00A,0,0,2
107,0x00B,0,0,2
108,0x00C,0,0,2
109,0x00D,0,0,2
110,0x000,0,0,2
