index,tile,hflip,vflip,palette
0,0x17,0,0,0xC
1,0x17,0,0,0xC
2,0x17,0,0,0xC
3,0x17,0,0,0xC
4,0x17,0,0,0xC
5,0x17,0,0,0xC
6,0x17,0,0,0xC
7,0x17,0,0,0xC
8,0x17,0,0,0xC
9,0x17,0,0,0xC
10,0x17,0,0,0xC
11,0x17,0,0,0xC
12,0x17,0,0,0xC
13,0x17,0,0,0xC
14,0x17,0,0,0xC
15,0x17,0,0,0xC
16,0x17,0,0,0xC
17,0x17,0,0,0xC
18,0x17,0,0,0xC
19,0x17,0,0,0xC
20,0x17,0,0,0xC
21,0x17,0,0,0xC
22,0x17,0,0,0xC
23,0x17,0,0,0xC
24,0x17,0,0,0xC
25,0x17,0,0,0xC
26,0x17,0,0,0xC
27,0x17,0,0,0xC
28,0x17,0,0,0xC
29,0x17,0,0,0xC
30,0x17,0,0,0xC
31,0x17,0,0,0xC
32,0x17,0,0,0xC
33,0x17,0,0,0xC
34,0x17,0,0,0xC
35,0x17,0,0,0xC
36,0x17,0,0,0xC
37,0x17,0,0,0xC
38,0x17,0,0,0xC
39,0x17,0,0,0xC
40,0x17,0,0,0xC
41,0x17,0,0,0xC
42,0x17,0,0,0xC
43,0x17,0,0,0xC
44,0x17,0,0,0xC
45,0x17,0,0,0xC
46,0x17,0,0,0xC
47,0x17,0,0,0xC
48,0x17,0,0,0xC
49,0x17,0,0,0xC
50,0x17,0,0,0xC
51,0x17,0,0,0xC
52,0x17,0,0,0xC
53,0x17,0,0,0xC
54,0x17,0,0,0xC
55,0x17,0,0,0xC
56,0x17,0,0,0xC
57,0x17,0,0,0xC
58,0x17,0,0,0xC
59,0x17,0,0,0xC
60,0x17,0,0,0xC
61,0x17,0,0,0xC
62,0x17,0,0,0xC
63,0x17,0,0,0xC
64,0x17,0,0,0xC
65,0x17,0,0,0xC
66,0x17,0,0,0xC
67,0x17,0,0,0xC
68,0x17,0,0,0xC
69,0x17,0,0,0xC
70,0x17,0,0,0xC
71,0x17,0,0,0xC
72,0x17,0,0,0xC
73,0x17,0,0,0xC
74,0x17,0,0,0xC
75,0x17,0,0,0xC
76,0x17,0,0,0xC
77,0x17,0,0,0xC
78,0x17,0,0,0xC
79,0x17,0,0,0xC
80,0x17,0,0,0xC
81,0x17,0,0,0xC
82,0x17,0,0,0xC
83,0x17,0,0,0xC
84,0x17,0,0,0xC
85,0x17,0,0,0xC
86,0x17,0,0,0xC
87,0x17,0,0,0xC
88,0x17,0,0,0xC
89,0x17,0,0,0xC
90,0x17,0,0,0xC
91,0x17,0,0,0xC
92,0x17,0,0,0xC
93,0x17,0,0,0xC
94,0x17,0,0,0xC
95,0x17,0,0,0xC
96,0x17,0,0,0xC
97,0x17,0,0,0xC
98,0x17,0,0,0xC
99,0x17,0,0,0xC
100,0x17,0,0,0xC
101,0x17,0,0,0xC
102,0x17,0,0,0xC
103,0x17,0,0,0xC
104,0x17,0,0,0xC
105,0x17,0,0,0xC
106,0x17,0,0,0xC
107,0x17,0,0,0xC
108,0x17,0,0,0xC
109,0x17,0,0,0xC
110,0x17,0,0,0xC
111,0x17,0,0,0xC
112,0x17,0,0,0xC
113,0x17,0,0,0xC
114,0x17,0,0,0xC
115,0x17,0,0,0xC
116,0x17,0,0,0xC
117,0x17,0,0,0xC
118,0x17,0,0,0xC
119,0x17,0,0,0xC
120,0x17,0,0,0xC
121,0x17,0,0,0xC
122,0x17,0,0,0xC
123,0x17,0,0,0xC
124,0x17,0,0,0xC
125,0x17,0,0,0xC
126,0x17,0,0,0xC
127,0x17,0,0,0xC
128,0x17,0,0,0xC
129,0x17,0,0,0xC
130,0x17,0,0,0xC
131,0x17,0,0,0xC
132,0x17,0,0,0xC
133,0x17,0,0,0xC
134,0x17,0,0,0xC
135,0x17,0,0,0xC
136,0x17,0,0,0xC
137,0x17,0,0,0xC
138,0x17,0,0,0xC
139,0x17,0,0,0xC
140,0x17,0,0,0xC
141,0x17,0,0,0xC
142,0x17,0,0,0xC
143,0x17,0,0,0xC
144,0x17,0,0,0xC
145,0x17,0,0,0xC
146,0x17,0,0,0xC
147,0x17,0,0,0xC
148,0x17,0,0,0xC
149,0x17,0,0,0xC
150,0x17,0,0,0xC
151,0x17,0,0,0xC
152,0x17,0,0,0xC
153,0x17,0,0,0xC
154,0x17,0,0,0xC
155,0x17,0,0,0xC
156,0x17,0,0,0xC
157,0x17,0,0,0xC
158,0x17,0,0,0xC
159,0x17,0,0,0xC
160,0x17,0,0,0xC
161,0x17,0,0,0xC
162,0x17,0,0,0xC
163,0x17,0,0,0xC
164,0x17,0,0,0xC
165,0x17,0,0,0xC
166,0x17,0,0,0xC
167,0x17,0,0,0xC
168,0x17,0,0,0xC
169,0x17,0,0,0xC
170,0x17,0,0,0xC
171,0x17,0,0,0xC
172,0x17,0,0,0xC
173,0x17,0,0,0xC
174,0x17,0,0,0xC
175,0x17,0,0,0xC
176,0x17,0,0,0xC
177,0x17,0,0,0xC
178,0x17,0,0,0xC
179,0x17,0,0,0xC
180,0x17,0,0,0xC
181,0x17,0,0,0xC
182,0x17,0,0,0xC
183,0x17,0,0,0xC
184,0x17,0,0,0xC
185,0x17,0,0,0xC
186,0x17,0,0,0xC
187,0x17,0,0,0xC
188,0x17,0,0,0xC
189,0x17,0,0,0xC
190,0x17,0,0,0xC
191,0x17,0,0,0xC
192,0x17,0,0,0xC
193,0x17,0,0,0xC
194,0x17,0,0,0xC
195,0x17,0,0,0xC
196,0x17,0,0,0xC
197,0x17,0,0,0xC
198,0x17,0,0,0xC
199,0x17,0,0,0xC
200,0x17,0,0,0xC
201,0x17,0,0,0xC
202,0x17,0,0,0xC
203,0x17,0,0,0xC
204,0x17,0,0,0xC
205,0x17,0,0,0xC
206,0x17,0,0,0xC
207,0x17,0,0,0xC
208,0x17,0,0,0xC
209,0x17,0,0,0xC
210,0x17,0,0,0xC
211,0x17,0,0,0xC
212,0x17,0,0,0xC
213,0x17,0,0,0xC
214,0x17,0,0,0xC
215,0x17,0,0,0xC
216,0x17,0,0,0xC
217,0x17,0,0,0xC
218,0x17,0,0,0xC
219,0x17,0,0,0xC
220,0x17,0,0,0xC
221,0x17,0,0,0xC
222,0x17,0,0,0xC
223,0x17,0,0,0xC
224,0x17,0,0,0xC
225,0x17,0,0,0xC
226,0x17,0,0,0xC
227,0x17,0,0,0xC
228,0x17,0,0,0xC
229,0x17,0,0,0xC
230,0x17,0,0,0xC
231,0x17,0,0,0xC
232,0x17,0,0,0xC
233,0x17,0,0,0xC
234,0x17,0,0,0xC
235,0x17,0,0,0xC
236,0x17,0,0,0xC
237,0x17,0,0,0xC
238,0x17,0,0,0xC
239,0x17,0,0,0xC
240,0x17,0,0,0xC
241,0x17,0,0,0xC
242,0x17,0,0,0xC
243,0x17,0,0,0xC
244,0x17,0,0,0xC
245,0x17,0,0,0xC
246,0x17,0,0,0xC
247,0x17,0,0,0xC
248,0x17,0,0,0xC
249,0x17,0,0,0xC
250,0x17,0,0,0xC
251,0x17,0,0,0xC
252,0x17,0,0,0xC
253,0x17,0,0,0xC
254,0x17,0,0,0xC
255,0x17,0,0,0xC
256,0x17,0,0,0xC
257,0x17,0,0,0xC
258,0x17,0,0,0xC
259,0x17,0,0,0xC
260,0x17,0,0,0xC
261,0x17,0,0,0xC
262,0x17,0,0,0xC
263,0x17,0,0,0xC
264,0x17,0,0,0xC
265,0x17,0,0,0xC
266,0x17,0,0,0xC
267,0x17,0,0,0xC
268,0x17,0,0,0xC
269,0x17,0,0,0xC
270,0x17,0,0,0xC
271,0x17,0,0,0xC
272,0x17,0,0,0xC
273,0x17,0,0,0xC
274,0x17,0,0,0xC
275,0x17,0,0,0xC
276,0x17,0,0,0xC
277,0x17,0,0,0xC
278,0x17,0,0,0xC
279,0x17,0,0,0xC
280,0x17,0,0,0xC
281,0x17,0,0,0xC
282,0x17,0,0,0xC
283,0x17,0,0,0xC
284,0x17,0,0,0xC
285,0x17,0,0,0xC
286,0x17,0,0,0xC
287,0x17,0,0,0xC
288,0x17,0,0,0xC
289,0x17,0,0,0xC
290,0x17,0,0,0xC
291,0x17,0,0,0xC
292,0x17,0,0,0xC
293,0x17,0,0,0xC
294,0x17,0,0,0xC
295,0x17,0,0,0xC
296,0x17,0,0,0xC
297,0x17,0,0,0xC
298,0x17,0,0,0xC
299,0x17,0,0,0xC
300,0x17,0,0,0xC
301,0x17,0,0,0xC
302,0x17,0,0,0xC
303,0x17,0,0,0xC
304,0x17,0,0,0xC
305,0x17,0,0,0xC
306,0x17,0,0,0xC
307,0x17,0,0,0xC
308,0x17,0,0,0xC
309,0x17,0,0,0xC
310,0x17,0,0,0xC
311,0x17,0,0,0xC
312,0x17,0,0,0xC
313,0x17,0,0,0xC
