index,tile,hflip,vflip,palette
0,0x100,0,0,1
1,0x101,0,0,1
2,0x102,0,0,1
3,0x103,0,0,1
4,0x104,0,0,1
5,0x105,0,0,1
6,0x106,0,0,1
7,0x107,0,0,1
8,0x108,0,0,1
9,0x109,0,0,1
10,0x10A,0,0,1
11,0x10B,0,0,1
12,0x10C,0,0,1
13,0x10D,0,0,1
14,0x10E,0,0,1
15,0x10F,0,0,1
16,0x14D,0,0,1
17,0x14E,0,0,1
18,0x14F,0,0,1
19,0x100,0,0,1
20,0x101,0,0,1
21,0x000,0,0,0
22,0x000,0,0,0
23,0x000,0,0,0
24,0x000,0,0,0
25,0x000,0,0,0
26,0x000,0,0,0
27,0x000,0,0,0
28,0x000,0,0,0
29,0x000,0,0,0
30,0x14E,0,0,1
31,0x14F,0,0,1
32,0x110,0,0,1
33,0x111,0,0,1
34,0x112,0,0,1
35,0x113,0,0,1
36,0x114,0,0,1
37,0x115,0,0,1
38,0x116,0,0,1
39,0x117,0,0,1
40,0x118,0,0,1
41,0x119,0,0,1
42,0x11A,0,0,1
43,0x11B,0,0,1
44,0x11C,0,0,1
45,0x11D,0,0,1
46,0x11E,0,0,1
47,0x11F,0,0,1
48,0x15D,0,0,1
49,0x15E,0,0,1
50,0x15F,0,0,1
51,0x110,0,0,1
52,0x111,0,0,1
53,0x000,0,0,0
54,0x000,0,0,0
55,0x000,0,0,0
56,0x000,0,0,0
57,0x000,0,0,0
58,0x000,0,0,0
59,0x000,0,0,0
60,0x000,0,0,0
61,0x000,0,0,0
62,0x15E,0,0,1
63,0x15F,0,0,1
64,0x120,0,0,1
65,0x121,0,0,1
66,0x122,0,0,1
67,0x123,0,0,1
68,0x124,0,0,1
69,0x125,0,0,1
70,0x126,0,0,1
71,0x127,0,0,1
72,0x128,0,0,1
73,0x129,0,0,1
74,0x12A,0,0,1
75,0x12B,0,0,1
76,0x12C,0,0,1
77,0x12D,0,0,1
78,0x12E,0,0,1
79,0x12F,0,0,1
80,0x16D,0,0,1
81,0x16E,0,0,1
82,0x16F,0,0,1
83,0x120,0,0,1
84,0x121,0,0,1
85,0x000,0,0,0
86,0x000,0,0,0
87,0x000,0,0,0
88,0x000,0,0,0
89,0x000,0,0,0
90,0x000,0,0,0
91,0x000,0,0,0
92,0x000,0,0,0
93,0x000,0,0,0
94,0x16E,0,0,1
95,0x16F,0,0,1
96,0x132,0,0,1
97,0x131,0,0,1
98,0x132,0,0,1
99,0x133,0,0,1
100,0x130,0,0,1
101,0x131,0,0,1
102,0x132,0,0,1
103,0x131,0,0,1
104,0x132,0,0,1
105,0x133,0,0,1
106,0x130,0,0,1
107,0x131,0,0,1
108,0x132,0,0,1
109,0x131,0,0,1
110,0x132,0,0,1
111,0x133,0,0,1
112,0x130,0,0,1
113,0x131,0,0,1
114,0x132,0,0,1
115,0x131,0,0,1
116,0x132,0,0,1
117,0x000,0,0,0
118,0x000,0,0,0
119,0x000,0,0,0
120,0x000,0,0,0
121,0x000,0,0,0
122,0x000,0,0,0
123,0x000,0,0,0
124,0x000,0,0,0
125,0x000,0,0,0
126,0x130,0,0,1
127,0x131,0,0,1
128,0x142,0,0,1
129,0x141,0,0,1
130,0x142,0,0,1
131,0x143,0,0,1
132,0x140,0,0,1
133,0x141,0,0,1
134,0x142,0,0,1
135,0x141,0,0,1
136,0x142,0,0,1
137,0x143,0,0,1
138,0x140,0,0,1
139,0x141,0,0,1
140,0x142,0,0,1
141,0x141,0,0,1
142,0x142,0,0,1
143,0x143,0,0,1
144,0x140,0,0,1
145,0x141,0,0,1
146,0x142,0,0,1
147,0x141,0,0,1
148,0x142,0,0,1
149,0x000,0,0,0
150,0x000,0,0,0
151,0x000,0,0,0
152,0x000,0,0,0
153,0x000,0,0,0
154,0x000,0,0,0
155,0x000,0,0,0
156,0x000,0,0,0
157,0x000,0,0,0
158,0x140,0,0,1
159,0x141,0,0,1
160,0x134,0,0,1
161,0x134,0,0,1
162,0x134,0,0,1
163,0x134,0,0,1
164,0x134,0,0,1
165,0x134,0,0,1
166,0x134,0,0,1
167,0x134,0,0,1
168,0x134,0,0,1
169,0x134,0,0,1
170,0x134,0,0,1
171,0x134,0,0,1
172,0x134,0,0,1
173,0x134,0,0,1
174,0x134,0,0,1
175,0x134,0,0,1
176,0x134,0,0,1
177,0x134,0,0,1
178,0x134,0,0,1
179,0x134,0,0,1
180,0x134,0,0,1
181,0x000,0,0,0
182,0x000,0,0,0
183,0x000,0,0,0
184,0x000,0,0,0
185,0x000,0,0,0
186,0x000,0,0,0
187,0x000,0,0,0
188,0x000,0,0,0
189,0x000,0,0,0
190,0x134,0,0,1
191,0x134,0,0,1
192,0x134,0,0,1
193,0x134,0,0,1
194,0x134,0,0,1
195,0x134,0,0,1
196,0x134,0,0,1
197,0x134,0,0,1
198,0x134,0,0,1
199,0x134,0,0,1
200,0x134,0,0,1
201,0x135,0,0,1
202,0x136,0,0,1
203,0x137,0,0,1
204,0x138,0,0,1
205,0x139,0,0,1
206,0x139,1,0,1
207,0x138,1,0,1
208,0x137,1,0,1
209,0x136,1,0,1
210,0x135,1,0,1
211,0x134,0,0,1
212,0x134,0,0,1
213,0x000,0,0,0
214,0x000,0,0,0
215,0x000,0,0,0
216,0x000,0,0,0
217,0x000,0,0,0
218,0x000,0,0,0
219,0x000,0,0,0
220,0x000,0,0,0
221,0x000,0,0,0
222,0x134,0,0,1
223,0x134,0,0,1
224,0x134,0,0,1
225,0x134,0,0,1
226,0x134,0,0,1
227,0x134,0,0,1
228,0x134,0,0,1
229,0x134,0,0,1
230,0x134,0,0,1
231,0x134,0,0,1
232,0x134,0,0,1
233,0x145,0,0,1
234,0x146,0,0,1
235,0x147,0,0,1
236,0x148,0,0,1
237,0x149,0,0,1
238,0x149,1,0,1
239,0x148,1,0,1
240,0x147,1,0,1
241,0x146,1,0,1
242,0x145,1,0,1
243,0x134,0,0,1
244,0x134,0,0,1
245,0x000,0,0,0
246,0x000,0,0,0
247,0x000,0,0,0
248,0x000,0,0,0
249,0x000,0,0,0
250,0x000,0,0,0
251,0x000,0,0,0
252,0x000,0,0,0
253,0x000,0,0,0
254,0x134,0,0,1
255,0x134,0,0,1
256,0x134,0,0,1
257,0x134,0,0,1
258,0x134,0,0,1
259,0x134,0,0,1
260,0x134,0,0,1
261,0x134,0,0,1
262,0x134,0,0,1
263,0x134,0,0,1
264,0x134,0,0,1
265,0x134,0,0,1
266,0x134,0,0,1
267,0x134,0,0,1
268,0x134,0,0,1
269,0x134,0,0,1
270,0x134,0,0,1
271,0x134,0,0,1
272,0x134,0,0,1
273,0x134,0,0,1
274,0x134,0,0,1
275,0x134,0,0,1
276,0x134,0,0,1
277,0x000,0,0,0
278,0x000,0,0,0
279,0x000,0,0,0
280,0x000,0,0,0
281,0x000,0,0,0
282,0x000,0,0,0
283,0x000,0,0,0
284,0x000,0,0,0
285,0x000,0,0,0
286,0x134,0,0,1
287,0x134,0,0,1
288,0x134,0,0,1
289,0x134,0,0,1
290,0x134,0,0,1
291,0x134,0,0,1
292,0x134,0,0,1
293,0x134,0,0,1
294,0x134,0,0,1
295,0x134,0,0,1
296,0x134,0,0,1
297,0x134,0,0,1
298,0x134,0,0,1
299,0x134,0,0,1
300,0x134,0,0,1
301,0x134,0,0,1
302,0x134,0,0,1
303,0x134,0,0,1
304,0x134,0,0,1
305,0x134,0,0,1
306,0x134,0,0,1
307,0x134,0,0,1
308,0x134,0,0,1
309,0x000,0,0,0
310,0x000,0,0,0
311,0x000,0,0,0
312,0x000,0,0,0
313,0x000,0,0,0
314,0x000,0,0,0
315,0x000,0,0,0
316,0x000,0,0,0
317,0x000,0,0,0
318,0x134,0,0,1
319,0x134,0,0,1
320,0x134,0,0,1
321,0x134,0,0,1
322,0x134,0,0,1
323,0x134,0,0,1
324,0x134,0,0,1
325,0x134,0,0,1
326,0x134,0,0,1
327,0x134,0,0,1
328,0x134,0,0,1
329,0x134,0,0,1
330,0x134,0,0,1
331,0x134,0,0,1
332,0x134,0,0,1
333,0x134,0,0,1
334,0x134,0,0,1
335,0x134,0,0,1
336,0x134,0,0,1
337,0x134,0,0,1
338,0x134,0,0,1
339,0x134,0,0,1
340,0x134,0,0,1
341,0x000,0,0,0
342,0x000,0,0,0
343,0x000,0,0,0
344,0x000,0,0,0
345,0x000,0,0,0
346,0x000,0,0,0
347,0x000,0,0,0
348,0x000,0,0,0
349,0x000,0,0,0
350,0x134,0,0,1
351,0x134,0,0,1
352,0x144,0,0,1
353,0x144,0,0,1
354,0x144,0,0,1
355,0x144,0,0,1
356,0x144,0,0,1
357,0x144,0,0,1
358,0x144,0,0,1
359,0x144,0,0,1
360,0x144,0,0,1
361,0x144,0,0,1
362,0x144,0,0,1
363,0x144,0,0,1
364,0x144,0,0,1
365,0x144,0,0,1
366,0x144,0,0,1
367,0x144,0,0,1
368,0x144,0,0,1
369,0x144,0,0,1
370,0x144,0,0,1
371,0x144,0,0,1
372,0x144,0,0,1
373,0x000,0,0,0
374,0x000,0,0,0
375,0x000,0,0,0
376,0x000,0,0,0
377,0x000,0,0,0
378,0x000,0,0,0
379,0x000,0,0,0
380,0x000,0,0,0
381,0x000,0,0,0
382,0x144,0,0,1
383,0x144,0,0,1
384,0x1B9,0,0,1
385,0x1B9,0,0,1
386,0x1B9,0,0,1
387,0x1B9,0,0,1
388,0x1B9,0,0,1
389,0x1B9,0,0,1
390,0x1B9,0,0,1
391,0x1B9,0,0,1
392,0x1B9,0,0,1
393,0x1B9,0,0,1
394,0x1B9,0,0,1
395,0x1B9,0,0,1
396,0x1B9,0,0,1
397,0x1B9,0,0,1
398,0x1B9,0,0,1
399,0x1B9,0,0,1
400,0x1B9,0,0,1
401,0x1B9,0,0,1
402,0x1B9,0,0,1
403,0x1B9,0,0,1
404,0x1B9,0,0,1
405,0x000,0,0,0
406,0x000,0,0,0
407,0x000,0,0,0
408,0x000,0,0,0
409,0x000,0,0,0
410,0x000,0,0,0
411,0x000,0,0,0
412,0x000,0,0,0
413,0x000,0,0,0
414,0x1B9,0,0,1
415,0x1B9,0,0,1
416,0x1B9,0,0,1
417,0x1B9,0,0,1
418,0x1B9,0,0,1
419,0x1B9,0,0,1
420,0x1B9,0,0,1
421,0x1B9,0,0,1
422,0x1B9,0,0,1
423,0x1B9,0,0,1
424,0x1B9,0,0,1
425,0x1B9,0,0,1
426,0x1B9,0,0,1
427,0x1B9,0,0,1
428,0x1B9,0,0,1
429,0x1B9,0,0,1
430,0x1B9,0,0,1
431,0x1B9,0,0,1
432,0x1B9,0,0,1
433,0x1B9,0,0,1
434,0x1B9,0,0,1
435,0x1B9,0,0,1
436,0x1B9,0,0,1
437,0x000,0,0,0
438,0x000,0,0,0
439,0x000,0,0,0
440,0x000,0,0,0
441,0x000,0,0,0
442,0x000,0,0,0
443,0x000,0,0,0
444,0x000,0,0,0
445,0x000,0,0,0
446,0x1B9,0,0,1
447,0x1B9,0,0,1
448,0x1B9,0,0,1
449,0x1B9,0,0,1
450,0x1B9,0,0,1
451,0x1B9,0,0,1
452,0x1B9,0,0,1
453,0x1B9,0,0,1
454,0x1B9,0,0,1
455,0x1B9,0,0,1
456,0x1B9,0,0,1
457,0x1B9,0,0,1
458,0x1B9,0,0,1
459,0x1B9,0,0,1
460,0x1B9,0,0,1
461,0x1B9,0,0,1
462,0x1B9,0,0,1
463,0x1B9,0,0,1
464,0x1B9,0,0,1
465,0x1B9,0,0,1
466,0x1B9,0,0,1
467,0x1B9,0,0,1
468,0x1B9,0,0,1
469,0x000,0,0,0
470,0x000,0,0,0
471,0x000,0,0,0
472,0x000,0,0,0
473,0x000,0,0,0
474,0x000,0,0,0
475,0x000,0,0,0
476,0x000,0,0,0
477,0x000,0,0,0
478,0x1B9,0,0,1
479,0x1B9,0,0,1
480,0x1B9,0,0,1
481,0x1B9,0,0,1
482,0x1B9,0,0,1
483,0x1B9,0,0,1
484,0x1B9,0,0,1
485,0x1B9,0,0,1
486,0x1B9,0,0,1
487,0x1B9,0,0,1
488,0x1B9,0,0,1
489,0x1B9,0,0,1
490,0x1B9,0,0,1
491,0x1B9,0,0,1
492,0x1B9,0,0,1
493,0x1B9,0,0,1
494,0x1B9,0,0,1
495,0x1B9,0,0,1
496,0x1B9,0,0,1
497,0x1B9,0,0,1
498,0x1B9,0,0,1
499,0x1B9,0,0,1
500,0x1B9,0,0,1
501,0x000,0,0,0
502,0x000,0,0,0
503,0x000,0,0,0
504,0x000,0,0,0
505,0x000,0,0,0
506,0x000,0,0,0
507,0x000,0,0,0
508,0x000,0,0,0
509,0x000,0,0,0
510,0x1B9,0,0,1
511,0x1B9,0,0,1
512,0x000,0,0,0
513,0x000,0,0,0
514,0x000,0,0,0
515,0x000,0,0,0
516,0x000,0,0,0
517,0x000,0,0,0
518,0x000,0,0,0
519,0x000,0,0,0
520,0x000,0,0,0
521,0x000,0,0,0
522,0x000,0,0,0
523,0x000,0,0,0
524,0x000,0,0,0
525,0x000,0,0,0
526,0x000,0,0,0
527,0x000,0,0,0
528,0x000,0,0,0
529,0x000,0,0,0
530,0x000,0,0,0
531,0x000,0,0,0
532,0x000,0,0,0
533,0x000,0,0,0
534,0x000,0,0,0
535,0x000,0,0,0
536,0x000,0,0,0
537,0x000,0,0,0
538,0x000,0,0,0
539,0x000,0,0,0
540,0x000,0,0,0
541,0x000,0,0,0
542,0x000,0,0,0
543,0x000,0,0,0
544,0x000,0,0,0
545,0x000,0,0,0
546,0x000,0,0,0
547,0x000,0,0,0
548,0x000,0,0,0
549,0x000,0,0,0
550,0x000,0,0,0
551,0x000,0,0,0
552,0x000,0,0,0
553,0x000,0,0,0
554,0x000,0,0,0
555,0x000,0,0,0
556,0x000,0,0,0
557,0x000,0,0,0
558,0x000,0,0,0
559,0x000,0,0,0
560,0x000,0,0,0
561,0x000,0,0,0
562,0x000,0,0,0
563,0x000,0,0,0
564,0x000,0,0,0
565,0x000,0,0,0
566,0x000,0,0,0
567,0x000,0,0,0
568,0x000,0,0,0
569,0x000,0,0,0
570,0x000,0,0,0
571,0x000,0,0,0
572,0x000,0,0,0
573,0x000,0,0,0
574,0x000,0,0,0
575,0x000,0,0,0
576,0x000,0,0,0
577,0x000,0,0,0
578,0x000,0,0,0
579,0x000,0,0,0
580,0x000,0,0,0
581,0x000,0,0,0
582,0x000,0,0,0
583,0x000,0,0,0
584,0x000,0,0,0
585,0x000,0,0,0
586,0x000,0,0,0
587,0x000,0,0,0
588,0x000,0,0,0
589,0x000,0,0,0
590,0x000,0,0,0
591,0x000,0,0,0
592,0x000,0,0,0
593,0x000,0,0,0
594,0x000,0,0,0
595,0x000,0,0,0
596,0x000,0,0,0
597,0x000,0,0,0
598,0x000,0,0,0
599,0x000,0,0,0
600,0x000,0,0,0
601,0x000,0,0,0
602,0x000,0,0,0
603,0x000,0,0,0
604,0x000,0,0,0
