index,tile,hflip,vflip,palette
0,0x000,0,0,0
1,0x000,0,0,0
2,0x000,0,0,0
3,0x000,0,0,0
4,0x000,0,0,0
5,0x000,0,0,0
6,0x000,0,0,0
7,0x000,0,0,0
8,0x000,0,0,0
9,0x000,0,0,0
10,0x000,0,0,0
11,0x000,0,0,0
12,0x000,0,0,0
13,0x000,0,0,0
14,0x000,0,0,0
15,0x000,0,0,0
16,0x000,0,0,0
17,0x000,0,0,0
18,0x0A0,0,0,10
19,0x0A1,0,0,10
20,0x0A1,0,0,10
21,0x0A1,0,0,10
22,0x0A1,0,0,10
23,0x0A1,0,0,10
24,0x0A1,0,0,10
25,0x0A1,0,0,10
26,0x0A1,0,0,10
27,0x0A1,0,0,10
28,0x0A1,0,0,10
29,0x0A2,0,0,10
30,0x000,0,0,0
31,0x000,0,0,0
32,0x000,0,0,0
33,0x000,0,0,0
34,0x000,0,0,0
35,0x000,0,0,0
36,0x000,0,0,0
37,0x000,0,0,0
38,0x000,0,0,0
39,0x000,0,0,0
40,0x000,0,0,0
41,0x000,0,0,0
42,0x000,0,0,0
43,0x000,0,0,0
44,0x000,0,0,0
45,0x000,0,0,0
46,0x000,0,0,0
47,0x000,0,0,0
48,0x000,0,0,0
49,0x000,0,0,0
50,0x0A0,0,0,10
51,0x0A1,0,0,10
52,0x0A1,0,0,10
53,0x0A1,0,0,10
54,0x0A1,0,0,10
55,0x0A1,0,0,10
56,0x0A1,0,0,10
57,0x0A1,0,0,10
58,0x0A1,0,0,10
59,0x0A1,0,0,10
60,0x0A1,0,0,10
61,0x0A2,0,0,10
62,0x000,0,0,0
63,0x000,0,0,0
64,0x000,0,0,0
65,0x000,0,0,0
66,0x000,0,0,0
67,0x000,0,0,0
68,0x000,0,0,0
69,0x000,0,0,0
70,0x000,0,0,0
71,0x000,0,0,0
72,0x000,0,0,0
73,0x000,0,0,0
74,0x000,0,0,0
75,0x000,0,0,0
76,0x000,0,0,0
77,0x000,0,0,0
78,0x000,0,0,0
79,0x000,0,0,0
80,0x000,0,0,0
81,0x000,0,0,0
82,0x0A0,0,0,10
83,0x0A1,0,0,10
84,0x0A1,0,0,10
85,0x0A1,0,0,10
