index,tile,hflip,vflip,palette
0,0x150,0,0,1
1,0x101,0,0,1
2,0x102,0,0,1
3,0x103,0,0,1
4,0x104,0,0,1
5,0x105,0,0,1
6,0x106,0,0,1
7,0x107,0,0,1
8,0x108,0,0,1
9,0x109,0,0,1
10,0x10A,0,0,1
11,0x10B,0,0,1
12,0x10C,0,0,1
13,0x10D,0,0,1
14,0x10E,0,0,1
15,0x10F,0,0,1
16,0x151,0,0,1
17,0x152,0,0,1
18,0x153,0,0,1
19,0x150,0,0,1
20,0x101,0,0,1
21,0x102,0,0,1
22,0x103,0,0,1
23,0x104,0,0,1
24,0x105,0,0,1
25,0x106,0,0,1
26,0x107,0,0,1
27,0x108,0,0,1
28,0x109,0,0,1
29,0x10A,0,0,1
30,0x10B,0,0,1
31,0x10C,0,0,1
32,0x110,0,0,1
33,0x111,0,0,1
34,0x112,0,0,1
35,0x113,0,0,1
36,0x114,0,0,1
37,0x115,0,0,1
38,0x116,0,0,1
39,0x117,0,0,1
40,0x118,0,0,1
41,0x119,0,0,1
42,0x11A,0,0,1
43,0x11B,0,0,1
44,0x11C,0,0,1
45,0x11D,0,0,1
46,0x11E,0,0,1
47,0x11F,0,0,1
48,0x161,0,0,1
49,0x162,0,0,1
50,0x163,0,0,1
51,0x110,0,0,1
52,0x111,0,0,1
53,0x112,0,0,1
54,0x113,0,0,1
55,0x114,0,0,1
56,0x115,0,0,1
57,0x116,0,0,1
58,0x117,0,0,1
59,0x118,0,0,1
60,0x119,0,0,1
61,0x11A,0,0,1
62,0x11B,0,0,1
63,0x11C,0,0,1
64,0x120,0,0,1
65,0x121,0,0,1
66,0x122,0,0,1
67,0x123,0,0,1
68,0x124,0,0,1
69,0x125,0,0,1
70,0x126,0,0,1
71,0x127,0,0,1
72,0x128,0,0,1
73,0x129,0,0,1
74,0x12A,0,0,1
75,0x12B,0,0,1
76,0x12C,0,0,1
77,0x12D,0,0,1
78,0x12E,0,0,1
79,0x12F,0,0,1
80,0x171,0,0,1
81,0x172,0,0,1
82,0x173,0,0,1
83,0x120,0,0,1
84,0x121,0,0,1
85,0x122,0,0,1
86,0x123,0,0,1
87,0x124,0,0,1
88,0x125,0,0,1
89,0x126,0,0,1
90,0x127,0,0,1
91,0x128,0,0,1
92,0x129,0,0,1
93,0x12A,0,0,1
94,0x12B,0,0,1
95,0x12C,0,0,1
96,0x132,0,0,1
97,0x131,0,0,1
98,0x132,0,0,1
99,0x133,0,0,1
100,0x130,0,0,1
101,0x131,0,0,1
102,0x132,0,0,1
103,0x131,0,0,1
