index,tile,hflip,vflip,palette
0,0x000,0,0,0
1,0x000,0,0,0
2,0x000,0,0,0
3,0x000,0,0,0
4,0x000,0,0,0
5,0x000,0,0,0
6,0x000,0,0,0
7,0x000,0,0,0
8,0x000,0,0,0
9,0x000,0,0,0
10,0x000,0,0,0
11,0x000,0,0,0
12,0x000,0,0,0
13,0x000,0,0,0
14,0x000,0,0,0
15,0x000,0,0,0
16,0x000,0,0,0
17,0x060,0,0,5
18,0x061,0,0,5
19,0x061,0,0,5
20,0x061,0,0,5
21,0x061,0,0,5
22,0x061,0,0,5
23,0x061,0,0,5
24,0x061,0,0,5
25,0x061,0,0,5
26,0x061,0,0,5
27,0x061,0,0,5
28,0x061,0,0,5
29,0x062,0,0,5
30,0x000,0,0,0
31,0x000,0,0,0
32,0x000,0,0,0
33,0x000,0,0,0
34,0x000,0,0,0
35,0x000,0,0,0
36,0x000,0,0,0
37,0x000,0,0,0
38,0x000,0,0,0
39,0x000,0,0,0
40,0x000,0,0,0
41,0x000,0,0,0
42,0x000,0,0,0
43,0x000,0,0,0
44,0x000,0,0,0
45,0x000,0,0,0
46,0x000,0,0,0
47,0x000,0,0,0
48,0x000,0,0,0
49,0x070,0,0,5
50,0x071,0,0,5
51,0x071,0,0,5
52,0x071,0,0,5
53,0x071,0,0,5
54,0x071,0,0,5
55,0x071,0,0,5
56,0x071,0,0,5
57,0x071,0,0,5
58,0x071,0,0,5
59,0x071,0,0,5
60,0x071,0,0,5
61,0x072,0,0,5
62,0x000,0,0,0
63,0x000,0,0,0
64,0x000,0,0,0
65,0x000,0,0,0
66,0x000,0,0,0
67,0x000,0,0,0
68,0x000,0,0,0
69,0x000,0,0,0
70,0x000,0,0,0
71,0x000,0,0,0
72,0x000,0,0,0
73,0x000,0,0,0
74,0x000,0,0,0
75,0x000,0,0,0
76,0x000,0,0,0
77,0x000,0,0,0
78,0x000,0,0,0
79,0x000,0,0,0
80,0x000,0,0,0
81,0x070,0,0,5
82,0x066,0,1,5
83,0x067,0,1,5
84,0x071,0,0,5
85,0x071,0,0,5
86,0x071,0,0,5
87,0x071,0,0,5
88,0x071,0,0,5
89,0x071,0,0,5
