index,tile,hflip,vflip,palette
0,0x060,0,0,7
1,0x061,0,0,7
2,0x061,1,0,7
3,0x060,1,0,7
4,0x084,0,0,7
5,0x085,0,0,7
6,0x085,1,0,7
7,0x084,1,0,7
8,0x062,0,0,7
9,0x063,0,0,7
10,0x063,1,0,7
11,0x062,1,0,7
12,0x086,0,0,7
13,0x087,0,0,7
14,0x087,1,0,7
15,0x086,1,0,7
16,0x064,0,0,7
17,0x065,0,0,7
18,0x065,1,0,7
19,0x064,1,0,7
20,0x080,0,0,7
21,0x081,0,0,7
22,0x081,1,0,7
23,0x080,1,0,7
24,0x066,0,0,7
25,0x067,0,0,7
26,0x067,1,0,7
27,0x066,1,0,7
28,0x082,0,0,7
29,0x083,0,0,7
30,0x083,1,0,7
31,0x082,1,0,7
32,0x070,0,0,7
33,0x071,0,0,7
34,0x071,1,0,7
35,0x070,1,0,7
36,0x094,0,0,7
37,0x095,0,0,7
38,0x095,1,0,7
39,0x094,1,0,7
40,0x072,0,0,7
41,0x073,0,0,7
42,0x073,1,0,7
43,0x072,1,0,7
44,0x096,0,0,7
45,0x097,0,0,7
46,0x097,1,0,7
47,0x096,1,0,7
48,0x074,0,0,7
49,0x075,0,0,7
50,0x075,1,0,7
51,0x074,1,0,7
52,0x090,0,0,7
53,0x091,0,0,7
54,0x091,1,0,7
55,0x090,1,0,7
56,0x076,0,0,7
57,0x077,0,0,7
58,0x077,1,0,7
59,0x076,1,0,7
60,0x092,0,0,7
61,0x093,0,0,7
62,0x093,1,0,7
63,0x092,1,0,7
64,0x080,0,0,7
65,0x081,0,0,7
66,0x081,1,0,7
67,0x080,1,0,7
68,0x066,0,0,7
69,0x067,0,0,7
70,0x067,1,0,7
71,0x066,1,0,7
72,0x082,0,0,7
73,0x083,0,0,7
74,0x083,1,0,7
75,0x082,1,0,7
76,0x060,0,0,7
77,0x061,0,0,7
78,0x061,1,0,7
79,0x060,1,0,7
80,0x084,0,0,7
81,0x085,0,0,7
82,0x085,1,0,7
83,0x084,1,0,7
84,0x062,0,0,7
85,0x063,0,0,7
86,0x063,1,0,7
87,0x062,1,0,7
88,0x086,0,0,7
89,0x087,0,0,7
90,0x087,1,0,7
91,0x086,1,0,7
92,0x064,0,0,7
93,0x065,0,0,7
94,0x065,1,0,7
95,0x064,1,0,7
96,0x090,0,0,7
97,0x091,0,0,7
98,0x091,1,0,7
99,0x090,1,0,7
100,0x076,0,0,7
101,0x077,0,0,7
102,0x077,1,0,7
103,0x076,1,0,7
104,0x092,0,0,7
105,0x093,0,0,7
106,0x093,1,0,7
107,0x092,1,0,7
108,0x070,0,0,7
109,0x071,0,0,7
110,0x071,1,0,7
111,0x070,1,0,7
112,0x094,0,0,7
113,0x095,0,0,7
114,0x095,1,0,7
115,0x094,1,0,7
116,0x072,0,0,7
117,0x073,0,0,7
118,0x073,1,0,7
119,0x072,1,0,7
120,0x096,0,0,7
121,0x097,0,0,7
122,0x097,1,0,7
123,0x096,1,0,7
124,0x074,0,0,7
125,0x075,0,0,7
126,0x075,1,0,7
127,0x074,1,0,7
128,0x062,0,0,7
129,0x063,0,0,7
130,0x063,1,0,7
131,0x062,1,0,7
