index,tile,hflip,vflip,palette
0,0x010,0,0,0
1,0x010,0,0,0
2,0x010,0,0,0
3,0x010,0,0,0
4,0x010,0,0,0
5,0x010,0,0,0
6,0x010,0,0,0
7,0x010,0,0,0
8,0x010,0,0,0
9,0x010,0,0,0
10,0x010,0,0,0
11,0x010,0,0,0
12,0x010,0,0,0
13,0x010,0,0,0
14,0x010,0,0,0
15,0x010,0,0,0
16,0x010,0,0,0
17,0x010,0,0,0
18,0x010,0,0,0
19,0x010,0,0,0
20,0x010,0,0,0
21,0x010,0,0,0
22,0x010,0,0,0
23,0x010,0,0,0
24,0x010,0,0,0
25,0x010,0,0,0
26,0x010,0,0,0
27,0x010,0,0,0
28,0x010,0,0,0
29,0x010,0,0,0
30,0x000,0,0,0
31,0x000,0,0,0
32,0x010,0,0,0
33,0x010,0,0,0
34,0x010,0,0,0
35,0x0A0,0,0,0
36,0x0A1,0,0,0
37,0x010,0,0,0
38,0x010,0,0,0
39,0x010,0,0,0
40,0x010,0,0,0
41,0x010,0,0,0
42,0x010,0,0,0
43,0x010,0,0,0
44,0x010,0,0,0
45,0x010,0,0,0
46,0x010,0,0,0
47,0x010,0,0,0
48,0x010,0,0,0
49,0x010,0,0,0
50,0x010,0,0,0
51,0x010,0,0,0
52,0x010,0,0,0
53,0x010,0,0,0
54,0x010,0,0,0
55,0x010,0,0,0
56,0x010,0,0,0
57,0x010,0,0,0
58,0x010,0,0,0
59,0x010,0,0,0
60,0x010,0,0,0
61,0x010,0,0,0
62,0x000,0,0,0
63,0x000,0,0,0
64,0x010,0,0,0
65,0x010,0,0,0
66,0x010,0,0,0
67,0x0B0,0,0,0
68,0x0B1,0,0,0
69,0x010,0,0,0
70,0x010,0,0,0
71,0x010,0,0,0
72,0x010,0,0,0
73,0x010,0,0,0
74,0x010,0,0,0
75,0x010,0,0,0
76,0x010,0,0,0
77,0x010,0,0,0
78,0x010,0,0,0
79,0x010,0,0,0
80,0x010,0,0,0
81,0x010,0,0,0
82,0x010,0,0,0
83,0x010,0,0,0
84,0x010,0,0,0
85,0x010,0,0,0
86,0x010,0,0,0
87,0x010,0,0,0
88,0x010,0,0,0
89,0x010,0,0,0
90,0x010,0,0,0
91,0x010,0,0,0
92,0x010,0,0,0
93,0x010,0,0,0
94,0x000,0,0,0
95,0x000,0,0,0
96,0x000,0,0,0
97,0x000,0,0,0
98,0x000,0,0,0
99,0x000,0,0,0
100,0x000,0,0,0
101,0x000,0,0,0
102,0x000,0,0,0
103,0x000,0,0,0
104,0x000,0,0,0
105,0x000,0,0,0
106,0x000,0,0,0
107,0x000,0,0,0
108,0x000,0,0,0
109,0x000,0,0,0
110,0x000,0,0,0
111,0x000,0,0,0
112,0x000,0,0,0
113,0x000,0,0,0
114,0x000,0,0,0
115,0x000,0,0,0
116,0x000,0,0,0
117,0x000,0,0,0
118,0x000,0,0,0
119,0x000,0,0,0
120,0x000,0,0,0
121,0x000,0,0,0
122,0x000,0,0,0
123,0x000,0,0,0
124,0x000,0,0,0
125,0x000,0,0,0
126,0x000,0,0,0
127,0x000,0,0,0
128,0x041,0,0,5
129,0x042,0,0,5
130,0x042,0,0,5
131,0x042,0,0,5
132,0x042,0,0,5
133,0x042,0,0,5
134,0x042,0,0,5
135,0x042,0,0,5
136,0x042,0,0,5
137,0x042,0,0,5
138,0x042,0,0,5
139,0x042,0,0,5
140,0x042,0,0,5
141,0x042,0,0,5
142,0x042,0,0,5
143,0x042,0,0,5
144,0x042,0,0,5
