# GBA text BG tilemap.
# Cell format: T<hex tile>:P<decimal palette>[:H|V|HV]
# Example: T01F:P2:H = tile 0x01F, palette 2, horizontal flip
width 32
height 32

map 0 # BG3, screen block 6
T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0
T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0 T002:P0
T003:P0 T003:P0 T003:P0 T003:P0 T009:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0 T009:P0 T003:P0 T003:P0 T003:P0 T009:P0 T003:P0 T003:P0 T003:P0 T003:P0 T009:P0 T003:P0 T003:P0 T003:P0 T009:P0 T003:P0 T003:P0 T003:P0 T003:P0 T003:P0
T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T00A:P0 T004:P0 T004:P0 T004:P0 T00A:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T00A:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T004:P0 T00A:P0 T004:P0
T00B:P0 T005:P0 T005:P0 T005:P0 T00B:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T00B:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0 T005:P0
T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T008:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T00C:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T008:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T006:P0 T00C:P0 T006:P0 T006:P0 T006:P0 T006:P0
T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0
T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0
T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T010:P0 T007:P0 T007:P0 T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T011:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0
T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T016:P0 T00D:P0 T016:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0
T007:P0 T016:P0 T016:P0 T007:P0 T007:P0 T007:P0 T007:P0 T00D:P0 T016:P0 T016:P0 T007:P0 T00D:P0 T016:P0 T00D:P0 T007:P0 T016:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T007:P0 T016:P0 T016:P0 T016:P0 T016:P0 T007:P0 T007:P0 T007:P0 T016:P0 T016:P0
