# Little-endian GBA text-BG tilemap entries.
# entries=640 cols=32
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2281 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2282 0x2283 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x2287 0x2288 0x2289 0x228A 0x2687 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x228B 0x228C 0x228D 0x228E 0x268B 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x2285 0x2285 0x2285 0x2285 0x228F 0x2290 0x2291 0x2292 0x2293 0x2285 0x2285 0x2285 0x2285 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2294 0x2295 0x2296 0x2297 0x2298 0x2299 0x229A 0x229B 0x229C 0x229D 0x229E 0x229F 0x22A0 0x22A1 0x22A2 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x22A3 0x22A4 0x22A5 0x22A6 0x22A7 0x22A8 0x22A8 0x22A9 0x22A8 0x22A8 0x22AA 0x22AB 0x22AC 0x22AD 0x22AE 0x2280 0x2280 0x2280 0x2280 0x2280
0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2280 0x2284 0x22AF 0x22B0 0x22B1 0x22B2 0x22B3 0x22B4 0x22A9 0x22B5 0x22B6 0x22B7 0x22B8 0x22B9 0x22BA 0x2286 0x2280 0x2280 0x2280 0x2280 0x2280
