# Legacy Ruby/Sapphire PokéNav Hoenn-map tilemap (32x24)
# entries=768 width=32
0x1000 0x1001 0x1002 0x1003 0x1004 0x1005 0x1006 0x1007 0x1004 0x1003 0x1000 0x1000 0x1003 0x1004 0x1008 0x1009 0x100A 0x1004 0x100B 0x1004 0x1003 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x100C 0x100C
0x1000 0x100D 0x100E 0x100F 0x1010 0x1011 0x1012 0x1013 0x1010 0x1013 0x1000 0x1000 0x1013 0x1014 0x1015 0x1016 0x1017 0x1014 0x1018 0x1010 0x1019 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x1000 0x100C 0x100C
0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x101A 0x100C 0x100C
0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x101B 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C 0x100C
