index,tile,hflip,vflip,palette
0,0x084,0,0,1
1,0x085,0,0,1
2,0x086,0,0,1
3,0x087,0,0,1
4,0x088,0,0,1
5,0x089,0,0,1
6,0x001,0,0,4
7,0x0C7,0,0,0
8,0x0C8,0,0,0
9,0x0C9,0,0,0
10,0x0C9,0,0,0
11,0x0C9,0,0,0
12,0x0C9,0,0,0
13,0x0C8,1,0,0
14,0x0C7,1,0,0
15,0x001,1,0,4
16,0x089,1,0,1
17,0x088,1,0,1
18,0x087,1,0,1
19,0x086,1,0,1
20,0x085,1,0,1
21,0x084,1,0,1
22,0x011,0,0,0
23,0x020,0,0,0
24,0x020,0,0,0
25,0x020,0,0,0
26,0x020,0,0,0
27,0x020,0,0,0
28,0x020,0,0,0
29,0x011,1,0,0
30,0x094,0,0,1
31,0x095,0,0,1
32,0x096,0,0,1
33,0x097,0,0,1
34,0x098,0,0,1
35,0x099,0,0,1
36,0x001,0,0,0
37,0x001,0,0,0
38,0x0CA,0,0,0
39,0x0CB,0,0,0
40,0x0CB,0,0,0
41,0x0CB,0,0,0
42,0x0CB,0,0,0
43,0x0CA,1,0,0
44,0x001,1,0,0
45,0x001,1,0,0
46,0x099,1,0,1
47,0x098,1,0,1
48,0x097,1,0,1
49,0x096,1,0,1
50,0x095,1,0,1
51,0x094,1,0,1
52,0x030,0,0,0
53,0x031,0,0,0
54,0x032,0,0,0
55,0x033,0,0,0
56,0x034,0,0,0
57,0x035,0,0,0
58,0x036,0,0,0
59,0x037,0,0,0
60,0x001,0,0,0
61,0x011,0,0,0
62,0x020,0,0,0
63,0x020,0,0,0
64,0x020,0,0,0
65,0x020,0,0,0
66,0x020,0,0,0
67,0x020,0,0,0
68,0x020,0,0,0
69,0x020,0,0,0
70,0x020,0,0,0
71,0x020,0,0,0
72,0x020,0,0,0
73,0x020,0,0,0
74,0x020,0,0,0
75,0x020,0,0,0
76,0x020,0,0,0
77,0x020,0,0,0
78,0x020,0,0,0
79,0x020,0,0,0
80,0x011,1,0,0
81,0x001,0,0,0
82,0x038,0,0,0
83,0x039,0,0,0
84,0x03A,0,0,0
85,0x03B,0,0,0
86,0x03B,1,0,0
87,0x039,0,0,0
88,0x03A,0,0,0
89,0x038,1,0,0
90,0x001,0,0,0
91,0x08A,0,0,2
92,0x08C,0,0,2
93,0x08C,0,0,2
94,0x08C,0,0,2
95,0x08C,0,0,2
96,0x08C,0,0,2
97,0x08C,0,0,2
98,0x08C,0,0,2
99,0x08C,0,0,2
100,0x08C,0,0,2
101,0x08C,0,0,2
102,0x08C,0,0,2
103,0x08C,0,0,2
104,0x08C,0,0,2
105,0x08C,0,0,2
106,0x08C,0,0,2
107,0x08C,0,0,2
108,0x08C,0,0,2
109,0x08C,0,0,2
110,0x07A,0,0,2
111,0x001,0,0,0
112,0x048,0,0,0
113,0x049,0,0,0
114,0x04A,0,0,0
115,0x04B,0,0,0
116,0x04B,1,0,0
117,0x04A,1,0,0
118,0x049,1,0,0
119,0x048,1,0,0
120,0x001,0,0,0
121,0x08B,0,0,2
122,0x08C,0,0,2
123,0x074,0,0,2
124,0x074,0,0,2
125,0x074,0,0,2
126,0x074,0,0,2
127,0x074,0,0,2
128,0x074,0,0,2
129,0x074,0,0,2
130,0x074,0,0,2
131,0x074,0,0,2
132,0x074,0,0,2
133,0x074,0,0,2
134,0x074,0,0,2
135,0x074,0,0,2
136,0x074,0,0,2
137,0x074,0,0,2
138,0x074,0,0,2
139,0x074,0,0,2
140,0x079,0,0,2
141,0x001,0,0,0
142,0x08A,0,0,2
143,0x0D9,0,0,2
144,0x0DA,0,0,2
145,0x0DD,0,0,2
146,0x0DE,0,0,2
147,0x0DF,0,0,2
148,0x08C,0,0,2
149,0x07A,0,0,2
150,0x001,0,0,0
151,0x08B,0,0,2
152,0x08C,0,0,2
153,0x074,0,0,2
154,0x074,0,0,2
155,0x074,0,0,2
156,0x074,0,0,2
157,0x074,0,0,2
158,0x074,0,0,2
159,0x074,0,0,2
160,0x074,0,0,2
161,0x074,0,0,2
162,0x074,0,0,2
163,0x074,0,0,2
164,0x074,0,0,2
165,0x074,0,0,2
166,0x074,0,0,2
167,0x074,0,0,2
168,0x074,0,0,2
169,0x074,0,0,2
170,0x079,0,0,2
171,0x001,0,0,0
172,0x08B,0,0,2
173,0x068,0,0,2
174,0x068,0,0,2
175,0x068,0,0,2
176,0x08C,0,0,2
177,0x07B,0,0,2
178,0x07C,0,0,2
179,0x07D,0,0,2
180,0x001,0,0,0
181,0x08B,0,0,2
182,0x08C,0,0,2
183,0x074,0,0,2
184,0x074,0,0,2
185,0x074,0,0,2
186,0x074,0,0,2
187,0x074,0,0,2
188,0x074,0,0,2
189,0x074,0,0,2
190,0x074,0,0,2
191,0x074,0,0,2
192,0x074,0,0,2
193,0x074,0,0,2
194,0x074,0,0,2
195,0x074,0,0,2
196,0x074,0,0,2
197,0x074,0,0,2
198,0x074,0,0,2
199,0x074,0,0,2
200,0x079,0,0,2
201,0x001,0,0,0
202,0x08B,0,0,2
203,0x067,0,0,2
204,0x067,0,0,2
205,0x067,0,0,2
206,0x08C,0,0,2
207,0x07B,0,0,2
208,0x07C,0,0,2
209,0x07D,0,0,2
210,0x001,0,0,0
211,0x08B,0,0,2
212,0x08C,0,0,2
213,0x074,0,0,2
214,0x074,0,0,2
215,0x074,0,0,2
216,0x074,0,0,2
217,0x074,0,0,2
218,0x074,0,0,2
219,0x074,0,0,2
220,0x074,0,0,2
221,0x074,0,0,2
222,0x074,0,0,2
223,0x074,0,0,2
224,0x074,0,0,2
225,0x074,0,0,2
226,0x074,0,0,2
227,0x074,0,0,2
228,0x074,0,0,2
229,0x074,0,0,2
230,0x079,0,0,2
231,0x001,0,0,0
232,0x08B,0,0,2
233,0x0DB,0,0,2
234,0x0DC,0,0,2
235,0x0DD,0,0,2
236,0x0DE,0,0,2
237,0x0DF,0,0,2
238,0x08C,0,0,2
239,0x079,0,0,2
240,0x001,0,0,0
241,0x08B,0,0,2
242,0x08C,0,0,2
243,0x074,0,0,2
244,0x074,0,0,2
245,0x074,0,0,2
246,0x074,0,0,2
247,0x074,0,0,2
248,0x074,0,0,2
249,0x074,0,0,2
250,0x074,0,0,2
251,0x074,0,0,2
252,0x074,0,0,2
253,0x074,0,0,2
254,0x074,0,0,2
255,0x074,0,0,2
256,0x074,0,0,2
257,0x074,0,0,2
258,0x074,0,0,2
259,0x074,0,0,2
260,0x079,0,0,2
261,0x001,0,0,0
262,0x08B,0,0,2
263,0x068,0,0,2
264,0x068,0,0,2
265,0x067,0,0,2
266,0x08C,0,0,2
267,0x08C,0,0,2
268,0x07E,0,0,2
269,0x07D,0,0,2
270,0x001,0,0,0
271,0x08B,0,0,2
272,0x08C,0,0,2
273,0x074,0,0,2
274,0x074,0,0,2
275,0x074,0,0,2
276,0x074,0,0,2
277,0x074,0,0,2
278,0x074,0,0,2
279,0x074,0,0,2
280,0x074,0,0,2
281,0x074,0,0,2
282,0x074,0,0,2
283,0x074,0,0,2
284,0x074,0,0,2
285,0x074,0,0,2
286,0x074,0,0,2
287,0x074,0,0,2
288,0x074,0,0,2
289,0x074,0,0,2
290,0x079,0,0,2
291,0x001,0,0,0
292,0x08B,0,0,2
293,0x067,0,0,2
294,0x067,0,0,2
295,0x068,0,0,2
296,0x08C,0,0,2
297,0x08C,0,0,2
298,0x07E,0,0,2
299,0x07D,0,0,2
300,0x001,0,0,0
301,0x08B,0,0,2
302,0x08C,0,0,2
303,0x074,0,0,2
304,0x074,0,0,2
305,0x074,0,0,2
306,0x074,0,0,2
307,0x074,0,0,2
308,0x074,0,0,2
309,0x074,0,0,2
310,0x074,0,0,2
311,0x074,0,0,2
312,0x074,0,0,2
313,0x074,0,0,2
314,0x074,0,0,2
315,0x074,0,0,2
316,0x074,0,0,2
317,0x074,0,0,2
318,0x074,0,0,2
319,0x074,0,0,2
320,0x079,0,0,2
321,0x001,0,0,0
322,0x08B,0,0,2
323,0x074,0,0,2
324,0x074,0,0,2
325,0x074,0,0,2
326,0x074,0,0,2
327,0x074,0,0,2
328,0x074,0,0,2
329,0x079,0,0,2
330,0x001,0,0,0
331,0x08B,0,0,2
332,0x08C,0,0,2
333,0x074,0,0,2
334,0x074,0,0,2
335,0x074,0,0,2
336,0x074,0,0,2
337,0x074,0,0,2
338,0x074,0,0,2
339,0x074,0,0,2
340,0x074,0,0,2
341,0x074,0,0,2
342,0x074,0,0,2
343,0x074,0,0,2
344,0x074,0,0,2
345,0x074,0,0,2
346,0x074,0,0,2
347,0x074,0,0,2
348,0x074,0,0,2
349,0x074,0,0,2
350,0x079,0,0,2
351,0x001,0,0,0
352,0x08B,0,0,2
353,0x06B,0,0,2
354,0x06B,0,0,2
355,0x06B,0,0,2
356,0x074,0,0,2
357,0x074,0,0,2
358,0x09A,0,0,2
359,0x09B,0,0,2
360,0x001,0,0,0
361,0x08B,0,0,2
362,0x08C,0,0,2
363,0x074,0,0,2
364,0x074,0,0,2
365,0x074,0,0,2
366,0x074,0,0,2
367,0x074,0,0,2
368,0x074,0,0,2
369,0x074,0,0,2
370,0x074,0,0,2
371,0x074,0,0,2
372,0x074,0,0,2
373,0x074,0,0,2
374,0x074,0,0,2
375,0x074,0,0,2
376,0x074,0,0,2
377,0x074,0,0,2
378,0x074,0,0,2
379,0x074,0,0,2
380,0x079,0,0,2
381,0x001,0,0,0
382,0x08B,0,0,2
383,0x06C,0,0,2
384,0x06C,0,0,2
385,0x06C,0,0,2
386,0x074,0,0,2
387,0x074,0,0,2
388,0x074,0,0,2
389,0x08D,0,0,2
390,0x001,0,0,0
391,0x08B,0,0,2
392,0x08C,0,0,2
393,0x074,0,0,2
394,0x074,0,0,2
395,0x074,0,0,2
396,0x074,0,0,2
397,0x074,0,0,2
398,0x074,0,0,2
399,0x074,0,0,2
400,0x074,0,0,2
401,0x074,0,0,2
402,0x074,0,0,2
403,0x074,0,0,2
404,0x074,0,0,2
405,0x074,0,0,2
406,0x074,0,0,2
407,0x074,0,0,2
408,0x074,0,0,2
409,0x074,0,0,2
410,0x079,0,0,2
411,0x001,0,0,0
412,0x08B,0,0,2
413,0x069,0,0,2
414,0x074,0,0,2
415,0x074,0,0,2
416,0x074,0,0,2
417,0x074,0,0,2
418,0x08E,0,0,2
419,0x08F,0,0,2
420,0x001,0,0,0
421,0x08B,0,0,2
422,0x08C,0,0,2
423,0x074,0,0,2
424,0x074,0,0,2
425,0x074,0,0,2
426,0x074,0,0,2
427,0x074,0,0,2
428,0x074,0,0,2
429,0x074,0,0,2
430,0x074,0,0,2
431,0x074,0,0,2
432,0x074,0,0,2
433,0x074,0,0,2
434,0x074,0,0,2
435,0x074,0,0,2
436,0x074,0,0,2
437,0x074,0,0,2
438,0x074,0,0,2
439,0x074,0,0,2
440,0x079,0,0,2
441,0x001,0,0,0
442,0x08B,0,0,2
443,0x06A,0,0,2
444,0x06A,0,0,2
445,0x06A,0,0,2
446,0x075,0,0,2
447,0x076,0,0,2
448,0x077,0,0,2
449,0x078,0,0,2
450,0x001,0,0,0
451,0x09C,0,0,2
452,0x074,0,0,2
453,0x074,0,0,2
454,0x074,0,0,2
455,0x074,0,0,2
456,0x074,0,0,2
457,0x074,0,0,2
458,0x074,0,0,2
459,0x074,0,0,2
460,0x074,0,0,2
461,0x074,0,0,2
462,0x074,0,0,2
463,0x074,0,0,2
464,0x074,0,0,2
465,0x074,0,0,2
466,0x074,0,0,2
467,0x074,0,0,2
468,0x074,0,0,2
469,0x074,0,0,2
470,0x09D,0,0,2
471,0x001,0,0,0
472,0x08B,0,0,2
473,0x06D,0,0,2
474,0x06D,0,0,2
475,0x06D,0,0,2
476,0x0CD,0,0,2
477,0x0CE,0,0,2
478,0x0CF,0,0,2
479,0x0CC,0,0,2
480,0x001,0,0,0
481,0x011,0,1,0
482,0x020,0,1,0
483,0x020,0,1,0
484,0x020,0,1,0
485,0x020,0,1,0
486,0x020,0,1,0
487,0x020,0,1,0
488,0x020,0,1,0
489,0x020,0,1,0
490,0x020,0,1,0
491,0x020,0,1,0
492,0x020,0,1,0
493,0x020,0,1,0
494,0x020,0,1,0
495,0x020,0,1,0
496,0x020,0,1,0
497,0x020,0,1,0
498,0x020,0,1,0
499,0x020,0,1,0
500,0x011,1,1,0
501,0x001,0,0,0
502,0x09C,0,0,2
503,0x074,0,0,2
504,0x074,0,0,2
505,0x074,0,0,2
506,0x074,0,0,2
507,0x074,0,0,2
508,0x074,0,0,2
509,0x09D,0,0,2
510,0x001,0,0,0
511,0x001,0,0,0
512,0x001,0,0,0
513,0x001,0,0,0
514,0x001,0,0,0
515,0x001,0,0,0
516,0x001,0,0,0
517,0x001,0,0,0
518,0x001,0,0,0
519,0x001,0,0,0
520,0x001,0,0,0
521,0x001,0,0,0
522,0x001,0,0,0
523,0x001,0,0,0
524,0x001,0,0,0
525,0x001,0,0,0
526,0x001,0,0,0
527,0x001,0,0,0
528,0x001,0,0,0
529,0x001,0,0,0
530,0x001,0,0,0
531,0x001,0,0,0
532,0x011,0,1,0
533,0x020,0,1,0
534,0x020,0,1,0
535,0x020,0,1,0
536,0x020,0,1,0
537,0x020,0,1,0
538,0x020,0,1,0
539,0x011,1,1,0
540,0x044,0,0,0
541,0x044,0,0,0
542,0x044,0,0,0
543,0x044,0,0,0
544,0x044,0,0,0
545,0x045,0,0,0
546,0x010,0,0,0
547,0x010,0,0,0
548,0x010,0,0,0
549,0x010,0,0,0
550,0x010,0,0,0
551,0x0A3,0,0,0
552,0x0A4,0,0,0
553,0x0A5,0,0,0
554,0x0A6,0,0,0
555,0x0A7,0,0,0
556,0x0A8,0,0,0
557,0x0D7,0,0,0
558,0x0D8,0,0,0
559,0x0D5,0,0,0
560,0x0AD,0,0,0
561,0x010,0,0,0
562,0x010,0,0,0
563,0x010,0,0,0
564,0x010,0,0,0
565,0x010,0,0,0
566,0x010,0,0,0
567,0x010,0,0,0
568,0x010,0,0,0
569,0x045,0,0,0
570,0x046,0,0,0
571,0x046,0,0,0
572,0x046,0,0,0
573,0x046,0,0,0
574,0x046,0,0,0
575,0x047,0,0,0
576,0x010,0,0,0
577,0x010,0,0,0
578,0x010,0,0,0
579,0x010,0,0,0
580,0x010,0,0,0
581,0x0B3,0,0,0
582,0x0B4,0,0,0
583,0x0B5,0,0,0
584,0x0B6,0,0,0
585,0x0B7,0,0,0
586,0x0B8,0,0,0
587,0x0E7,0,0,0
588,0x0E8,0,0,0
589,0x0E5,0,0,0
590,0x0BD,0,0,0
591,0x010,0,0,0
592,0x010,0,0,0
593,0x010,0,0,0
594,0x010,0,0,0
595,0x010,0,0,0
596,0x010,0,0,0
597,0x010,0,0,0
598,0x010,0,0,0
599,0x047,0,0,0
