index,tile,hflip,vflip,palette
0,0x084,0,0,1
1,0x085,0,0,1
2,0x086,0,0,1
3,0x087,0,0,1
4,0x088,0,0,1
5,0x089,0,0,1
6,0x001,0,0,4
7,0x0C7,0,0,0
8,0x0C8,0,0,0
9,0x0C9,0,0,0
10,0x0C9,0,0,0
11,0x0C9,0,0,0
12,0x0C9,0,0,0
13,0x0C8,1,0,0
14,0x0C7,1,0,0
15,0x001,1,0,4
16,0x089,1,0,1
17,0x088,1,0,1
18,0x087,1,0,1
19,0x086,1,0,1
20,0x085,1,0,1
21,0x084,1,0,1
22,0x011,0,0,0
23,0x020,0,0,0
24,0x020,0,0,0
25,0x020,0,0,0
26,0x020,0,0,0
27,0x020,0,0,0
28,0x020,0,0,0
29,0x011,1,0,0
30,0x094,0,0,1
31,0x095,0,0,1
32,0x096,0,0,1
33,0x097,0,0,1
34,0x098,0,0,1
35,0x099,0,0,1
36,0x001,0,0,0
37,0x001,0,0,0
38,0x0CA,0,0,0
39,0x0CB,0,0,0
40,0x0CB,0,0,0
41,0x0CB,0,0,0
42,0x0CB,0,0,0
43,0x0CA,1,0,0
44,0x001,1,0,0
45,0x001,1,0,0
46,0x099,1,0,1
47,0x098,1,0,1
48,0x097,1,0,1
49,0x096,1,0,1
50,0x095,1,0,1
51,0x094,1,0,1
52,0x030,0,0,0
53,0x031,0,0,0
54,0x032,0,0,0
55,0x033,0,0,0
56,0x034,0,0,0
57,0x035,0,0,0
58,0x036,0,0,0
59,0x037,0,0,0
60,0x001,0,0,0
61,0x001,0,0,0
62,0x001,0,0,0
63,0x06F,0,0,0
64,0x06E,0,0,0
65,0x06E,0,0,0
66,0x06E,0,0,0
67,0x06E,0,0,0
68,0x06E,0,0,0
69,0x06E,0,0,0
70,0x06E,0,0,0
71,0x06E,0,0,0
72,0x06E,0,0,0
73,0x06E,0,0,0
74,0x06E,0,0,0
75,0x06E,0,0,0
76,0x06E,0,0,0
77,0x06E,0,0,0
78,0x07F,0,0,0
79,0x001,0,0,0
80,0x001,0,0,0
81,0x001,0,0,0
82,0x038,0,0,0
83,0x039,0,0,0
84,0x03A,0,0,0
85,0x03B,0,0,0
86,0x03B,1,0,0
87,0x039,0,0,0
88,0x03A,0,0,0
89,0x038,1,0,0
90,0x002,0,0,4
91,0x003,0,0,4
92,0x004,0,0,4
93,0x001,0,0,0
94,0x054,0,0,0
95,0x055,0,0,0
96,0x055,1,0,0
97,0x054,1,0,0
98,0x001,0,0,0
99,0x054,0,0,0
100,0x055,0,0,0
101,0x055,1,0,0
102,0x054,1,0,0
103,0x001,0,0,0
104,0x054,0,0,0
105,0x055,0,0,0
106,0x055,1,0,0
107,0x054,1,0,0
108,0x001,0,0,0
109,0x005,0,0,4
110,0x006,0,0,4
111,0x007,0,0,4
112,0x048,0,0,0
113,0x049,0,0,0
114,0x04A,0,0,0
115,0x04B,0,0,0
116,0x04B,1,0,0
117,0x04A,1,0,0
118,0x049,1,0,0
119,0x048,1,0,0
120,0x012,0,0,4
121,0x013,0,0,4
122,0x014,0,0,4
123,0x03C,0,0,4
124,0x057,1,0,0
125,0x056,1,0,0
126,0x056,0,0,0
127,0x057,0,0,0
128,0x00F,0,0,0
129,0x057,1,0,0
130,0x056,1,0,0
131,0x056,0,0,0
132,0x057,0,0,0
133,0x00F,0,0,0
134,0x057,1,0,0
135,0x056,1,0,0
136,0x056,0,0,0
137,0x057,0,0,0
138,0x04D,1,1,4
139,0x015,0,0,4
140,0x016,0,0,4
141,0x017,0,0,4
142,0x059,1,0,0
143,0x000,0,0,0
144,0x000,0,0,0
145,0x000,0,0,0
146,0x000,0,0,0
147,0x000,0,0,0
148,0x000,0,0,0
149,0x059,0,0,0
150,0x00B,0,0,4
151,0x00C,0,0,4
152,0x00D,0,0,4
153,0x04C,0,0,4
154,0x000,0,0,0
155,0x000,0,0,0
156,0x000,0,0,0
157,0x000,0,0,0
158,0x01F,0,0,0
159,0x000,0,0,0
160,0x000,0,0,0
161,0x000,0,0,0
162,0x000,0,0,0
163,0x01F,0,0,0
164,0x000,0,0,0
165,0x000,0,0,0
166,0x000,0,0,0
167,0x000,0,0,0
168,0x03D,1,1,4
169,0x00B,0,0,4
170,0x00C,0,0,4
171,0x00D,0,0,4
172,0x058,1,0,0
173,0x000,0,0,0
174,0x000,0,0,0
175,0x000,0,0,0
176,0x000,0,0,0
177,0x000,0,0,0
178,0x000,0,0,0
179,0x058,0,0,0
180,0x01B,0,0,4
181,0x01C,0,0,4
182,0x01D,0,0,4
183,0x05A,0,0,4
184,0x000,0,0,0
185,0x000,0,0,0
186,0x000,0,0,0
187,0x000,0,0,0
188,0x05D,0,0,4
189,0x000,0,0,0
190,0x000,0,0,0
191,0x000,0,0,0
192,0x000,0,0,0
193,0x05D,1,0,4
194,0x000,0,0,0
195,0x000,0,0,0
196,0x000,0,0,0
197,0x000,0,0,0
198,0x05A,1,0,4
199,0x01B,0,0,4
200,0x01C,0,0,4
201,0x01D,0,0,4
202,0x058,1,0,0
203,0x000,0,0,0
204,0x000,0,0,0
205,0x000,0,0,0
206,0x000,0,0,0
207,0x000,0,0,0
208,0x000,0,0,0
209,0x058,0,0,0
210,0x02A,0,0,4
211,0x02B,0,0,4
212,0x02C,0,0,4
213,0x01E,0,0,4
214,0x000,0,0,0
215,0x000,0,0,0
216,0x000,0,0,0
217,0x000,0,0,0
218,0x03E,0,0,4
219,0x000,0,0,0
220,0x000,0,0,0
221,0x000,0,0,0
222,0x000,0,0,0
223,0x03F,0,0,4
224,0x000,0,0,0
225,0x000,0,0,0
226,0x000,0,0,0
227,0x000,0,0,0
228,0x01E,1,0,4
229,0x02A,0,0,4
230,0x02B,0,0,4
231,0x02C,0,0,4
232,0x058,1,0,0
233,0x000,0,0,0
234,0x000,0,0,0
235,0x000,0,0,0
236,0x000,0,0,0
237,0x000,0,0,0
238,0x000,0,0,0
239,0x058,0,0,0
240,0x008,0,0,4
241,0x009,0,0,4
242,0x00A,0,0,4
243,0x01E,0,0,4
244,0x000,0,0,0
245,0x000,0,0,0
246,0x000,0,0,0
247,0x000,0,0,0
248,0x04E,0,0,4
249,0x000,0,0,0
250,0x000,0,0,0
251,0x000,0,0,0
252,0x000,0,0,0
253,0x04F,0,0,4
254,0x000,0,0,0
255,0x000,0,0,0
256,0x000,0,0,0
257,0x000,0,0,0
258,0x01E,1,0,4
259,0x008,0,0,4
260,0x009,0,0,4
261,0x00A,0,0,4
262,0x058,1,0,0
263,0x000,0,0,0
264,0x000,0,0,0
265,0x000,0,0,0
266,0x000,0,0,0
267,0x000,0,0,0
268,0x000,0,0,0
269,0x058,0,0,0
270,0x018,0,0,4
271,0x019,0,0,4
272,0x01A,0,0,4
273,0x05B,0,0,4
274,0x000,0,0,0
275,0x000,0,0,0
276,0x000,0,0,0
277,0x000,0,0,0
278,0x05E,0,0,4
279,0x000,0,0,0
280,0x000,0,0,0
281,0x000,0,0,0
282,0x000,0,0,0
283,0x05E,1,0,4
284,0x000,0,0,0
285,0x000,0,0,0
286,0x000,0,0,0
287,0x000,0,0,0
288,0x05B,1,0,4
289,0x018,0,0,4
290,0x019,0,0,4
291,0x01A,0,0,4
292,0x058,1,0,0
293,0x000,0,0,0
294,0x000,0,0,0
295,0x000,0,0,0
296,0x000,0,0,0
297,0x000,0,0,0
298,0x000,0,0,0
299,0x058,0,0,0
300,0x027,0,0,4
301,0x028,0,0,4
302,0x029,0,0,4
303,0x01E,0,0,4
304,0x000,0,0,0
305,0x000,0,0,0
306,0x000,0,0,0
307,0x000,0,0,0
308,0x03F,0,0,4
309,0x000,0,0,0
310,0x000,0,0,0
311,0x000,0,0,0
312,0x000,0,0,0
313,0x03E,0,0,4
314,0x000,0,0,0
315,0x000,0,0,0
316,0x000,0,0,0
317,0x000,0,0,0
318,0x01E,1,0,4
319,0x027,0,0,4
320,0x028,0,0,4
321,0x029,0,0,4
322,0x058,1,0,0
323,0x000,0,0,0
324,0x000,0,0,0
325,0x000,0,0,0
326,0x000,0,0,0
327,0x000,0,0,0
328,0x000,0,0,0
329,0x058,0,0,0
330,0x021,0,0,4
331,0x022,0,0,4
332,0x023,0,0,4
333,0x01E,0,0,4
334,0x000,0,0,0
335,0x000,0,0,0
336,0x000,0,0,0
337,0x000,0,0,0
338,0x04F,0,0,4
339,0x000,0,0,0
340,0x000,0,0,0
341,0x000,0,0,0
342,0x000,0,0,0
343,0x04E,0,0,4
344,0x000,0,0,0
345,0x000,0,0,0
346,0x000,0,0,0
347,0x000,0,0,0
348,0x01E,1,0,4
349,0x021,0,0,4
350,0x022,0,0,4
351,0x023,0,0,4
352,0x058,1,0,0
353,0x000,0,0,0
354,0x000,0,0,0
355,0x000,0,0,0
356,0x000,0,0,0
357,0x000,0,0,0
358,0x000,0,0,0
359,0x058,0,0,0
360,0x024,0,0,4
361,0x025,0,0,4
362,0x026,0,0,4
363,0x05C,0,0,4
364,0x000,0,0,0
365,0x000,0,0,0
366,0x000,0,0,0
367,0x000,0,0,0
368,0x05F,0,0,4
369,0x000,0,0,0
370,0x000,0,0,0
371,0x000,0,0,0
372,0x000,0,0,0
373,0x05F,1,0,4
374,0x000,0,0,0
375,0x000,0,0,0
376,0x000,0,0,0
377,0x000,0,0,0
378,0x05C,1,0,4
379,0x024,0,0,4
380,0x025,0,0,4
381,0x026,0,0,4
382,0x058,1,0,0
383,0x000,0,0,0
384,0x000,0,0,0
385,0x000,0,0,0
386,0x000,0,0,0
387,0x000,0,0,0
388,0x000,0,0,0
389,0x058,0,0,0
390,0x02D,0,0,4
391,0x02E,0,0,4
392,0x02F,0,0,4
393,0x03D,0,0,4
394,0x000,0,0,0
395,0x000,0,0,0
396,0x000,0,0,0
397,0x000,0,0,0
398,0x01F,0,0,0
399,0x000,0,0,0
400,0x000,0,0,0
401,0x000,0,0,0
402,0x000,0,0,0
403,0x01F,0,0,0
404,0x000,0,0,0
405,0x000,0,0,0
406,0x000,0,0,0
407,0x000,0,0,0
408,0x04C,1,1,4
409,0x02D,0,0,4
410,0x02E,0,0,4
411,0x02F,0,0,4
412,0x058,1,0,0
413,0x000,0,0,0
414,0x000,0,0,0
415,0x000,0,0,0
416,0x000,0,0,0
417,0x000,0,0,0
418,0x000,0,0,0
419,0x058,0,0,0
420,0x005,0,0,4
421,0x006,0,0,4
422,0x007,0,0,4
423,0x04D,0,0,4
424,0x040,0,0,0
425,0x041,0,0,0
426,0x041,1,0,0
427,0x040,1,0,0
428,0x00F,0,1,0
429,0x040,0,0,0
430,0x041,0,0,0
431,0x041,1,0,0
432,0x040,1,0,0
433,0x00F,0,1,0
434,0x040,0,0,0
435,0x041,0,0,0
436,0x041,1,0,0
437,0x040,1,0,0
438,0x03C,1,1,4
439,0x002,0,0,4
440,0x003,0,0,4
441,0x004,0,0,4
442,0x058,1,0,0
443,0x000,0,0,0
444,0x000,0,0,0
445,0x000,0,0,0
446,0x000,0,0,0
447,0x000,0,0,0
448,0x000,0,0,0
449,0x058,0,0,0
450,0x015,0,0,4
451,0x016,0,0,4
452,0x017,0,0,4
453,0x001,0,0,4
454,0x050,0,0,0
455,0x042,0,0,0
456,0x043,0,0,0
457,0x050,1,0,0
458,0x001,0,0,0
459,0x050,0,0,0
460,0x042,0,0,0
461,0x043,0,0,0
462,0x050,1,0,0
463,0x001,0,0,0
464,0x050,0,0,0
465,0x042,0,0,0
466,0x043,0,0,0
467,0x050,1,0,0
468,0x001,0,0,0
469,0x012,0,0,4
470,0x013,0,0,4
471,0x014,0,0,4
472,0x058,1,0,0
473,0x000,0,0,0
474,0x000,0,0,0
475,0x000,0,0,0
476,0x000,0,0,0
477,0x000,0,0,0
478,0x000,0,0,0
479,0x058,0,0,0
480,0x001,0,0,0
481,0x080,0,0,0
482,0x081,0,0,0
483,0x082,0,0,0
484,0x083,0,0,0
485,0x052,0,0,0
486,0x053,0,0,0
487,0x083,1,0,0
488,0x064,0,0,0
489,0x083,0,0,0
490,0x052,0,0,0
491,0x053,0,0,0
492,0x083,1,0,0
493,0x064,0,0,0
494,0x083,0,0,0
495,0x052,0,0,0
496,0x053,0,0,0
497,0x083,1,0,0
498,0x082,1,0,0
499,0x081,1,0,0
500,0x080,1,0,0
501,0x001,0,0,0
502,0x059,1,1,0
503,0x000,0,0,0
504,0x000,0,0,0
505,0x000,0,0,0
506,0x000,0,0,0
507,0x000,0,0,0
508,0x000,0,0,0
509,0x059,0,1,0
510,0x001,0,0,0
511,0x090,0,0,0
512,0x091,0,0,0
513,0x092,0,0,0
514,0x093,0,0,0
515,0x071,0,0,0
516,0x071,1,0,0
517,0x093,1,0,0
518,0x001,0,0,0
519,0x093,0,0,0
520,0x071,0,0,0
521,0x071,1,0,0
522,0x093,1,0,0
523,0x001,0,0,0
524,0x093,0,0,0
525,0x071,0,0,0
526,0x071,1,0,0
527,0x093,1,0,0
528,0x092,1,0,0
529,0x091,1,0,0
530,0x090,1,0,0
531,0x001,0,0,0
532,0x011,0,1,0
533,0x020,0,1,0
534,0x020,0,1,0
535,0x020,0,1,0
536,0x020,0,1,0
537,0x020,0,1,0
538,0x020,0,1,0
539,0x011,1,1,0
540,0x044,0,0,0
541,0x044,0,0,0
542,0x044,0,0,0
543,0x044,0,0,0
544,0x044,0,0,0
545,0x045,0,0,0
546,0x010,0,0,0
547,0x010,0,0,0
548,0x010,0,0,0
549,0x010,0,0,0
550,0x010,0,0,0
551,0x0A3,0,0,0
552,0x0A4,0,0,0
553,0x0A5,0,0,0
554,0x0A6,0,0,0
555,0x0A7,0,0,0
556,0x0A8,0,0,0
557,0x0A9,0,0,0
558,0x0AA,0,0,0
559,0x0AB,0,0,0
560,0x0AC,0,0,0
561,0x0AD,0,0,0
562,0x0D0,0,0,0
563,0x0D1,0,0,0
564,0x0D2,0,0,0
565,0x0D3,0,0,0
566,0x0D4,0,0,0
567,0x0D5,0,0,0
568,0x0D6,0,0,0
569,0x045,0,0,0
570,0x046,0,0,0
571,0x046,0,0,0
572,0x046,0,0,0
573,0x046,0,0,0
574,0x046,0,0,0
575,0x047,0,0,0
576,0x010,0,0,0
577,0x010,0,0,0
578,0x010,0,0,0
579,0x010,0,0,0
580,0x010,0,0,0
581,0x0B3,0,0,0
582,0x0B4,0,0,0
583,0x0B5,0,0,0
584,0x0B6,0,0,0
585,0x0B7,0,0,0
586,0x0B8,0,0,0
587,0x0B9,0,0,0
588,0x0BA,0,0,0
589,0x0BB,0,0,0
590,0x0BC,0,0,0
591,0x0BD,0,0,0
592,0x0E0,0,0,0
593,0x0E1,0,0,0
594,0x0E2,0,0,0
595,0x0E3,0,0,0
596,0x0E4,0,0,0
597,0x0E5,0,0,0
598,0x0E6,0,0,0
599,0x047,0,0,0
